1; Draft.Scratch_smt_check_7_18874; 2026-04-10 13:49:06.786;
and: 122000,110000,113000,
and_neg: 290000,319000,
and_pos: 189000,171000,115000,130000,160000,129000,126000,132000,131000,131000,136000,131000,148000,114000,
implies: 160000,188000,232000,183000,258000,199000,179000,259000,383000,228000,
not_and: 200000,
not_not: 125000,
parsing: 101646000,
aci_simp: 1077000,1030000,1036000,1083000,949000,1050000,945000,1023000,984000,1119000,922000,1017000,1111000,1096000,1205000,993000,1130000,1021000,1202000,940000,1124000,1098000,1150000,1182000,1030000,1159000,988000,1129000,886000,948000,1022000,1116000,2175000,1885000,2104000,1935000,2034000,
evaluate: 215000,258000,217000,203000,
onepoint: 1130000,2092000,1174000,1222000,1154000,928000,
qnt_join: 312000,327000,290000,308000,266000,623000,
subproof: 1366000,1635000,1690000,1133000,1182000,1168000,1094000,1098000,1981000,4185000,2089000,
and_intro: 161000,
equiv_pos1: 124000,32000,
equiv_pos2: 214000,174000,243000,172000,181000,244000,49000,128000,130000,188000,195000,194000,354000,93000,46000,354000,114000,229000,125000,260000,74000,254000,90000,29000,74000,573000,249000,261000,78000,175000,266000,252000,400000,248000,
not_equiv1: 119000,
not_equiv2: 118000,
reordering: 271000,275000,445000,277000,163000,263000,152000,368000,228000,184000,227000,405000,227000,241000,454000,511000,390000,356000,549000,350000,174000,289000,294000,
resolution: 265000,185000,246000,208000,321000,373000,271000,258000,260000,297000,297000,391000,726000,267000,297000,234000,248000,266000,298000,306000,360000,411000,267000,299000,178000,224000,306000,285000,271000,209000,200000,185000,216000,250000,174000,248000,282000,308000,315000,182000,266000,206000,178000,241000,234000,312000,371000,431000,402000,229000,336000,192000,616000,1794000,374000,408000,442000,371000,350000,278000,329000,162000,193000,3370000,366000,162000,242000,475000,1381000,197000,210000,264000,230000,711000,160000,158000,358000,195000,165000,223000,167000,305000,304000,758000,152000,223000,389000,329000,453000,497000,481000,404000,651000,617000,460000,471000,510000,604000,763000,447000,461000,347000,444000,458000,522000,416000,
sko_forall: 1155000,
contraction: 240000,320000,327000,274000,395000,736000,346000,318000,266000,382000,188000,242000,261000,288000,384000,488000,511000,343000,
forall_inst: 719000,750000,783000,883000,851000,730000,836000,700000,701000,685000,1435000,1409000,1328000,
implies_neg1: 222000,274000,324000,225000,362000,259000,203000,448000,319000,429000,294000,
implies_neg2: 219000,443000,252000,213000,339000,256000,147000,240000,339000,421000,376000,
__local_input: 88000,104000,152000,115000,114000,99000,25000,23000,56000,29000,40000,31000,41000,109000,76000,143000,86000,
qnt_rm_unused: 373000,1175000,241000,233000,166000,164000,368000,1254000,239000,247000,171000,171000,364000,1158000,233000,231000,317000,351000,
equiv_simplify: 178000,184000,
miniscope_split: 459000,491000,888000,
implies_simplify: 251000,
__normalized_input: 14448000,13071000,11156000,4773000,4815000,988000,954000,686000,523000,769000,
miniscope_distribute: 778000,517000,823000,507000,767000,935000,
rare_rewrite_eq-refl: 112000,93000,119000,99000,107000,82000,
rare_rewrite_eq-symm: 102000,101000,104000,114000,78000,84000,116000,77000,81000,115000,108000,117000,102000,103000,104000,117000,105000,105000,112000,110000,97000,184000,269000,204000,191000,194000,263000,
rare_rewrite_or-not-refl: 6393000,5960000,6588000,6853000,6241000,5926000,
rare_rewrite_bool-impl-elim: 5884000,5979000,6249000,6209000,5992000,6054000,5936000,6300000,11136000,11944000,12452000,
rare_rewrite_bool-impl-false1: 6234000,6475000,6591000,6666000,11900000,12188000,
rare_rewrite_bool-and-de-morgan: 5626000,5763000,5857000,5880000,6476000,6415000,11811000,11477000,12211000,
rare_rewrite_bool-or-and-distrib: 6084000,6352000,6218000,6396000,6063000,21659000,
rare_rewrite_bool-double-not-elim: 105000,111000,111000,119000,108000,121000,200000,124000,491000,260000,506000,219000,224000,256000,220000,

