0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 0.000, provers = ["cvc5_proof"], slices = 192,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.using      7152ms Matrix_Tensor.Matrix_Tensor 151:4291  some (SH 7151ms, ATP 1852ms): Try this: by (smt (cvc5) assms(1) mat_def)
0.sledgehammer goal.by         5099ms Matrix_Tensor.Matrix_Tensor 151:4311  some (SH 5099ms, ATP 1583ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4787ms Matrix_Tensor.Matrix_Tensor 153:4349  some (SH 4787ms, ATP 665ms): Try this: by (smt (cvc5) assms(2) list.size(3))
0.sledgehammer goal.by         3372ms Matrix_Tensor.Matrix_Tensor 153:4361  some (SH 3370ms, ATP 501ms): Try this: by (smt (cvc5) list.size(3))
0.sledgehammer goal.by         3485ms Matrix_Tensor.Matrix_Tensor 155:4397  some (SH 3484ms, ATP 504ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      8155ms Matrix_Tensor.Matrix_Tensor 162:4489  some (SH 8154ms, ATP 1601ms): Try this: by (smt (cvc5) assms(1,2) vec_def)
0.sledgehammer goal.by         7674ms Matrix_Tensor.Matrix_Tensor 162:4522  some (SH 7674ms, ATP 1833ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     13440ms Matrix_Tensor.Matrix_Tensor 168:4663  some (SH 13439ms, ATP 296ms): Try this: by (smt (cvc5) assms(1,2) mat_def vec_uniqueness)
0.sledgehammer goal.using      7556ms Matrix_Tensor.Matrix_Tensor 169:4690  some (SH 7555ms, ATP 882ms): Try this: by (smt (cvc5) assms(3,4) list.set_sel(1))
0.sledgehammer goal.by         3576ms Matrix_Tensor.Matrix_Tensor 170:4751  some (SH 3575ms, ATP 1786ms): Try this: by (smt (cvc5) list.set_sel(1))
0.sledgehammer goal.using      4022ms Matrix_Tensor.Matrix_Tensor 171:4803  some (SH 4022ms, ATP 1590ms): Try this: by (smt (cvc5) assms(1) mat_def)
0.sledgehammer goal.by         4304ms Matrix_Tensor.Matrix_Tensor 171:4826  some (SH 4303ms, ATP 2109ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4083ms Matrix_Tensor.Matrix_Tensor 172:4885  some (SH 4082ms, ATP 1747ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3657ms Matrix_Tensor.Matrix_Tensor 172:4906  some (SH 3656ms, ATP 1840ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4590ms Matrix_Tensor.Matrix_Tensor 173:4945  some (SH 4590ms, ATP 1954ms): Try this: by (smt (cvc5) assms(2) mat_def)
0.sledgehammer goal.by         3971ms Matrix_Tensor.Matrix_Tensor 173:4968  some (SH 3970ms, ATP 1771ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4155ms Matrix_Tensor.Matrix_Tensor 174:5026  some (SH 4153ms, ATP 1576ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3459ms Matrix_Tensor.Matrix_Tensor 174:5047  some (SH 3458ms, ATP 1541ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4183ms Matrix_Tensor.Matrix_Tensor 177:5144  some (SH 4182ms, ATP 1598ms): Try this: by (smt (cvc5) \<open>Ball (set M) (vec nr1)\<close> \<open>Ball (set M) (vec nr2)\<close>)
0.sledgehammer goal.using      4620ms Matrix_Tensor.Matrix_Tensor 178:5254  some (SH 4619ms, ATP 1901ms): Try this: by (smt (cvc5) vec_uniqueness)
0.sledgehammer goal.by         4811ms Matrix_Tensor.Matrix_Tensor 178:5275  some (SH 4810ms, ATP 2516ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3978ms Matrix_Tensor.Matrix_Tensor 180:5343  some (SH 3977ms, ATP 1665ms): Try this: by (smt (cvc5) vec_uniqueness)
0.sledgehammer goal.by         4529ms Matrix_Tensor.Matrix_Tensor 182:5411  some (SH 4528ms, ATP 2309ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3978ms Matrix_Tensor.Matrix_Tensor 184:5445  some (SH 3977ms, ATP 1600ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     16422ms Matrix_Tensor.Matrix_Tensor 190:5543  some (SH 16421ms, ATP 3866ms): Try this: by (smt (cvc5) assms(1,2) bot_nat_0.not_eq_extremum length_0_conv less_eq_mask less_imp_le_nat mask_0 mat_def sub_mat)
0.sledgehammer goal.using      3063ms Matrix_Tensor.Matrix_Tensor 191:5569  some (SH 3063ms, ATP 687ms): Try this: by (smt (cvc5) assms(2) empty_set)
0.sledgehammer goal.by         3723ms Matrix_Tensor.Matrix_Tensor 191:5601  some (SH 3722ms, ATP 1664ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4091ms Matrix_Tensor.Matrix_Tensor 192:5643  some (SH 4089ms, ATP 667ms): Try this: by (smt (cvc5) ball_empty)
0.sledgehammer goal.by         3982ms Matrix_Tensor.Matrix_Tensor 192:5658  some (SH 3980ms, ATP 747ms): Try this: by (smt (cvc5) ball_empty)
0.sledgehammer goal.using      4778ms Matrix_Tensor.Matrix_Tensor 194:5693  some (SH 4776ms, ATP 2327ms): Try this: by (smt (cvc5) assms(1) mat_def)
0.sledgehammer goal.by         4307ms Matrix_Tensor.Matrix_Tensor 194:5717  some (SH 4305ms, ATP 2371ms): Try this: by (smt (cvc5) mat_def)
0.sledgehammer goal.by         4464ms Matrix_Tensor.Matrix_Tensor 195:5759  some (SH 4463ms, ATP 1689ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         6037ms Matrix_Tensor.Matrix_Tensor 203:5880  some (SH 6035ms, ATP 755ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using     11286ms Matrix_Tensor.Matrix_Tensor 205:5921  some (SH 11285ms, ATP 237ms): Try this: by (smt (cvc5) empty_iff list.set(1) list.size(3) mat_def)
0.sledgehammer goal.by        11345ms Matrix_Tensor.Matrix_Tensor 206:5989  some (SH 11343ms, ATP 1260ms): Try this: by (smt (cvc5) empty_iff list.set(1))
0.sledgehammer goal.using      5214ms Matrix_Tensor.Matrix_Tensor 217:6287  some (SH 5213ms, ATP 2003ms): Try this: by (smt (cvc5) row_length_def)
0.sledgehammer goal.by         5446ms Matrix_Tensor.Matrix_Tensor 217:6308  some (SH 5445ms, ATP 2414ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      8528ms Matrix_Tensor.Matrix_Tensor 221:6369  some (SH 8526ms, ATP 2159ms): Try this: by (smt (cvc5) list.sel(1) list.size(3,3) row_length_def)
0.sledgehammer goal.by         4619ms Matrix_Tensor.Matrix_Tensor 221:6390  some (SH 4618ms, ATP 1823ms): Try this: by (smt (cvc5) list.sel(1) list.size(3,3))
0.sledgehammer goal.proof     21834ms Matrix_Tensor.Matrix_Tensor 225:6489  some (SH 21833ms, ATP 3053ms): Try this: by (smt (cvc5) append.simps(1) id_take_nth_drop length_greater_0_conv list.sel(1) mult.commute row_length_def take0 times_nat.simps(1) vec_mat_Tensor.simps(2) vec_mat_Tensor_length vec_vec_Tensor_length)
0.sledgehammer goal.using      4400ms Matrix_Tensor.Matrix_Tensor 228:6550  some (SH 4399ms, ATP 1749ms): Try this: by (smt (cvc5) row_length_Nil)
0.sledgehammer goal.by         4684ms Matrix_Tensor.Matrix_Tensor 228:6571  some (SH 4683ms, ATP 2079ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5998ms Matrix_Tensor.Matrix_Tensor 230:6630  some (SH 5997ms, ATP 2029ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(1))
0.sledgehammer goal.by         4380ms Matrix_Tensor.Matrix_Tensor 230:6660  some (SH 4373ms, ATP 1565ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      3908ms Matrix_Tensor.Matrix_Tensor 233:6762  some (SH 3907ms, ATP 1482ms): Try this: by (smt (cvc5) mult_0_right)
0.sledgehammer goal.by         4346ms Matrix_Tensor.Matrix_Tensor 233:6781  some (SH 4345ms, ATP 2022ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         5194ms Matrix_Tensor.Matrix_Tensor 234:6811  some (SH 5193ms, ATP 1780ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using     10101ms Matrix_Tensor.Matrix_Tensor 241:7060  some (SH 10100ms, ATP 2035ms): Try this: by (smt (cvc5) list.sel(1) not_Cons_self2 reduct.simps(1,2) row_length_def)
0.sledgehammer goal.by         8589ms Matrix_Tensor.Matrix_Tensor 242:7114  some (SH 8589ms, ATP 2620ms): Try this: by (smt (cvc5) list.sel(1))
0.sledgehammer goal.using      5271ms Matrix_Tensor.Matrix_Tensor 244:7216  some (SH 5270ms, ATP 1736ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(2))
0.sledgehammer goal.by         4946ms Matrix_Tensor.Matrix_Tensor 245:7279  some (SH 4945ms, ATP 2237ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      6314ms Matrix_Tensor.Matrix_Tensor 248:7395  some (SH 6314ms, ATP 2462ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         4159ms Matrix_Tensor.Matrix_Tensor 249:7474  some (SH 4158ms, ATP 1970ms): Try this: by (smt (cvc5) list.sel(1))
0.sledgehammer goal.by         4309ms Matrix_Tensor.Matrix_Tensor 252:7613  some (SH 4308ms, ATP 1876ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4216ms Matrix_Tensor.Matrix_Tensor 255:7739  some (SH 4215ms, ATP 1785ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4569ms Matrix_Tensor.Matrix_Tensor 256:7770  some (SH 4568ms, ATP 2188ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by        20923ms Matrix_Tensor.Matrix_Tensor 267:8011  timeout (SH 20922ms): Timed out
0.sledgehammer goal.by         5482ms Matrix_Tensor.Matrix_Tensor 272:8131  some (SH 5481ms, ATP 1771ms): Try this: by (smt (cvc5) Tensor.simps(1,2) append.right_neutral vec_mat_Tensor_vector_id)
0.sledgehammer goal.by        20133ms Matrix_Tensor.Matrix_Tensor 275:8225  timeout (SH 20132ms): Timed out
0.sledgehammer goal.proof     23549ms Matrix_Tensor.Matrix_Tensor 282:8466  some (SH 23548ms, ATP 3299ms): Try this: by (smt (cvc5) Tensor.simps(1,2) Tensor_null append.simps(1,2) id_take_nth_drop length_greater_0_conv list.distinct(1) list.sel(1) mult.commute mult_0_right row_length_def row_length_vect_mat take0 vec_mat_Tensor_length)
0.sledgehammer goal.using      4750ms Matrix_Tensor.Matrix_Tensor 285:8530  some (SH 4750ms, ATP 2285ms): Try this: by (smt (cvc5) Tensor.simps(1) row_length_Nil)
0.sledgehammer goal.by         4057ms Matrix_Tensor.Matrix_Tensor 286:8572  some (SH 4056ms, ATP 1712ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4980ms Matrix_Tensor.Matrix_Tensor 289:8662  some (SH 4980ms, ATP 1916ms): Try this: by (smt (cvc5) mult_is_0 row_length_Nil)
0.sledgehammer goal.by         4824ms Matrix_Tensor.Matrix_Tensor 290:8691  some (SH 4823ms, ATP 1958ms): Try this: by (smt (cvc5) mult_is_0)
0.sledgehammer goal.by         5497ms Matrix_Tensor.Matrix_Tensor 291:8718  some (SH 5496ms, ATP 2325ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      8453ms Matrix_Tensor.Matrix_Tensor 298:8941  some (SH 8452ms, ATP 2193ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         7984ms Matrix_Tensor.Matrix_Tensor 299:8985  some (SH 7984ms, ATP 1611ms): Try this: by (smt (cvc5) list.sel(1))
0.sledgehammer goal.proof     18377ms Matrix_Tensor.Matrix_Tensor 301:9069  some (SH 18376ms, ATP 2238ms): Try this: by (smt (cvc5) B Nil_is_append_conv Tensor.simps(2) Tensor_null hd_append length_0_conv row_length_def row_length_vect_mat vec_mat_Tensor_length)
0.sledgehammer goal.using      5585ms Matrix_Tensor.Matrix_Tensor 303:9116  some (SH 5584ms, ATP 2362ms): Try this: by (smt (cvc5) Tensor_null mult_is_0 row_length_Nil)
0.sledgehammer goal.by         3771ms Matrix_Tensor.Matrix_Tensor 303:9163  some (SH 3770ms, ATP 1650ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4030ms Matrix_Tensor.Matrix_Tensor 311:9425  some (SH 4029ms, ATP 1507ms): Try this: by (smt (cvc5) list.distinct(1))
0.sledgehammer goal.using      4929ms Matrix_Tensor.Matrix_Tensor 313:9507  some (SH 4928ms, ATP 1840ms): Try this: by (smt (cvc5) list.distinct(1) vec_mat_Tensor.simps(2))
0.sledgehammer goal.by         4574ms Matrix_Tensor.Matrix_Tensor 313:9532  some (SH 4573ms, ATP 1776ms): Try this: by (smt (cvc5) list.distinct(1) vec_mat_Tensor.simps(2))
0.sledgehammer goal.by         4669ms Matrix_Tensor.Matrix_Tensor 317:9676  some (SH 4668ms, ATP 2332ms): Try this: by (smt (cvc5) hd_append2)
0.sledgehammer goal.using      6344ms Matrix_Tensor.Matrix_Tensor 320:9782  some (SH 6344ms, ATP 1962ms): Try this: by (smt (cvc5) Tensor.simps(2) hd_append2 non_zero)
0.sledgehammer goal.by         8209ms Matrix_Tensor.Matrix_Tensor 320:9804  some (SH 8208ms, ATP 2242ms): Try this: by (smt (cvc5) hd_append2 non_zero)
0.sledgehammer goal.using      8226ms Matrix_Tensor.Matrix_Tensor 323:9941  some (SH 8225ms, ATP 1918ms): Try this: by (smt (cvc5) Nil_is_append_conv Tensor.simps(2) non_zero row_length_def)
0.sledgehammer goal.by         8572ms Matrix_Tensor.Matrix_Tensor 324:10017  some (SH 8571ms, ATP 2855ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5362ms Matrix_Tensor.Matrix_Tensor 327:10138  some (SH 5361ms, ATP 1980ms): Try this: by (smt (cvc5) row_length_vect_mat)
0.sledgehammer goal.by         4273ms Matrix_Tensor.Matrix_Tensor 327:10164  some (SH 4272ms, ATP 2014ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4282ms Matrix_Tensor.Matrix_Tensor 331:10321  some (SH 4280ms, ATP 1764ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3547ms Matrix_Tensor.Matrix_Tensor 335:10491  some (SH 3546ms, ATP 1691ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4373ms Matrix_Tensor.Matrix_Tensor 336:10534  some (SH 4371ms, ATP 1607ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         5114ms Matrix_Tensor.Matrix_Tensor 338:10571  some (SH 5113ms, ATP 1836ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5744ms Matrix_Tensor.Matrix_Tensor 343:10654  some (SH 5742ms, ATP 1950ms): Try this: by (smt (cvc5) assms set_ConsD)
0.sledgehammer goal.by         4598ms Matrix_Tensor.Matrix_Tensor 343:10685  some (SH 4597ms, ATP 883ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     13135ms Matrix_Tensor.Matrix_Tensor 350:10859  some (SH 13133ms, ATP 4532ms): Try this: by (smt (cvc5) assms list.set_sel(1) mat_def row_length_def vec_def zero_matrix)
0.sledgehammer goal.using      4954ms Matrix_Tensor.Matrix_Tensor 353:10918  some (SH 4953ms, ATP 1335ms): Try this: by (smt (cvc5) local.Nil row_length_Nil)
0.sledgehammer goal.by         5897ms Matrix_Tensor.Matrix_Tensor 353:10939  some (SH 5896ms, ATP 3511ms): Try this: by (smt (cvc5) local.Nil)
0.sledgehammer goal.by         5167ms Matrix_Tensor.Matrix_Tensor 355:10993  some (SH 5166ms, ATP 1912ms): Try this: by (smt (cvc5) list.size(3) local.Nil)
0.sledgehammer goal.using      6024ms Matrix_Tensor.Matrix_Tensor 357:11058  some (SH 6023ms, ATP 2118ms): Try this: by (smt (cvc5) local.Nil zero_matrix)
0.sledgehammer goal.by         5355ms Matrix_Tensor.Matrix_Tensor 357:11080  some (SH 5354ms, ATP 2130ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5535ms Matrix_Tensor.Matrix_Tensor 359:11124  some (SH 5534ms, ATP 2590ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         4729ms Matrix_Tensor.Matrix_Tensor 359:11175  some (SH 4728ms, ATP 2037ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4828ms Matrix_Tensor.Matrix_Tensor 363:11244  some (SH 4827ms, ATP 1773ms): Try this: by (smt (cvc5) assms local.Cons)
0.sledgehammer goal.by         4322ms Matrix_Tensor.Matrix_Tensor 363:11261  some (SH 4319ms, ATP 2383ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4942ms Matrix_Tensor.Matrix_Tensor 365:11339  some (SH 4941ms, ATP 1359ms): Try this: by (smt (cvc5) hd_set)
0.sledgehammer goal.by         4232ms Matrix_Tensor.Matrix_Tensor 365:11352  some (SH 4147ms, ATP 1539ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         8567ms Matrix_Tensor.Matrix_Tensor 367:11404  some (SH 8566ms, ATP 1901ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) list.set_sel(1) mat_def)
0.sledgehammer goal.using      8060ms Matrix_Tensor.Matrix_Tensor 369:11472  some (SH 8060ms, ATP 2652ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         9112ms Matrix_Tensor.Matrix_Tensor 369:11515  some (SH 9111ms, ATP 2226ms): Try this: by (smt (cvc5) list.sel(1))
0.sledgehammer goal.using      5896ms Matrix_Tensor.Matrix_Tensor 371:11577  some (SH 5895ms, ATP 2336ms): Try this: by (smt (cvc5) vec_def)
0.sledgehammer goal.by         5481ms Matrix_Tensor.Matrix_Tensor 371:11591  some (SH 5480ms, ATP 2259ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      7159ms Matrix_Tensor.Matrix_Tensor 373:11656  some (SH 7158ms, ATP 1869ms): Try this: by (smt (cvc5) local.Cons vec_uniqueness)
0.sledgehammer goal.by         5002ms Matrix_Tensor.Matrix_Tensor 373:11682  some (SH 5000ms, ATP 1700ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      8392ms Matrix_Tensor.Matrix_Tensor 375:11725  some (SH 8391ms, ATP 1855ms): Try this: by (smt (cvc5) assms mat_def)
0.sledgehammer goal.by         3839ms Matrix_Tensor.Matrix_Tensor 375:11755  some (SH 3838ms, ATP 1608ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5514ms Matrix_Tensor.Matrix_Tensor 378:11830  some (SH 5509ms, ATP 1792ms): Try this: by (smt (cvc5) assms)
0.sledgehammer goal.by         6419ms Matrix_Tensor.Matrix_Tensor 378:11842  some (SH 6418ms, ATP 3007ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         5570ms Matrix_Tensor.Matrix_Tensor 379:11876  some (SH 5569ms, ATP 1866ms): Try this: by (smt (cvc5))
0.sledgehammer goal.proof     21795ms Matrix_Tensor.Matrix_Tensor 386:12008  some (SH 21794ms, ATP 990ms): Try this: by (smt (cvc5) append_Nil assms id_take_nth_drop insert_iff length_greater_0_conv list.sel(1) list.set(2) mat_def row_length_def take0 vec_def zero_matrix)
0.sledgehammer goal.using      5598ms Matrix_Tensor.Matrix_Tensor 389:12059  some (SH 5597ms, ATP 2384ms): Try this: by (smt (cvc5) list.size(3) local.Nil row_length_Nil zero_matrix)
0.sledgehammer goal.by         5549ms Matrix_Tensor.Matrix_Tensor 389:12111  some (SH 5547ms, ATP 2035ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5560ms Matrix_Tensor.Matrix_Tensor 394:12190  some (SH 5559ms, ATP 951ms): Try this: by (smt (cvc5) list.set_intros(1) local.Cons)
0.sledgehammer goal.by         4134ms Matrix_Tensor.Matrix_Tensor 394:12228  some (SH 4133ms, ATP 1376ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      5034ms Matrix_Tensor.Matrix_Tensor 396:12299  some (SH 5033ms, ATP 2012ms): Try this: by (smt (cvc5) assms)
0.sledgehammer goal.by         4809ms Matrix_Tensor.Matrix_Tensor 396:12311  some (SH 4808ms, ATP 1959ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3578ms Matrix_Tensor.Matrix_Tensor 398:12387  some (SH 3577ms, ATP 1258ms): Try this: by (smt (cvc5) hd_set)
0.sledgehammer goal.using      5562ms Matrix_Tensor.Matrix_Tensor 400:12467  some (SH 5562ms, ATP 2344ms): Try this: by (smt (cvc5) assms mat_def)
0.sledgehammer goal.by         4152ms Matrix_Tensor.Matrix_Tensor 401:12506  some (SH 4151ms, ATP 1863ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      6705ms Matrix_Tensor.Matrix_Tensor 403:12578  some (SH 6704ms, ATP 1691ms): Try this: by (smt (cvc5) list.distinct(1) list.sel(1) row_length_def)
0.sledgehammer goal.by         4861ms Matrix_Tensor.Matrix_Tensor 404:12627  some (SH 4861ms, ATP 1694ms): Try this: by (smt (cvc5) list.sel(1))
