0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.by        14334ms Ordered_Resolution_Prover.FO_Ordered_Resolution 86:3328  some (SH 14334ms, ATP 438ms): Try this: apply force (4 ms)
0.sledgehammer goal.using     35582ms Ordered_Resolution_Prover.FO_Ordered_Resolution 89:3476  timeout (SH 35582ms): Timed out
0.sledgehammer goal.by        34459ms Ordered_Resolution_Prover.FO_Ordered_Resolution 89:3491  timeout (SH 34459ms): Timed out
0.sledgehammer goal.using     42813ms Ordered_Resolution_Prover.FO_Ordered_Resolution 92:3634  some (SH 42813ms, ATP 1998ms): Try this: by (metis Suc.prems(1,2) Succ(1,2) map2_tl subst_atm_mset_list_tl) (90 ms)
0.sledgehammer goal.by        32455ms Ordered_Resolution_Prover.FO_Ordered_Resolution 92:3654  some (SH 32455ms, ATP 216ms): Try this: by (metis map2_tl subst_atm_mset_list_tl) (78 ms)
0.sledgehammer goal.using     24934ms Ordered_Resolution_Prover.FO_Ordered_Resolution 95:3875  some (SH 24934ms, ATP 2250ms): Try this: using Succ(1,2) apply auto[1] (2 ms)
0.sledgehammer goal.by        21442ms Ordered_Resolution_Prover.FO_Ordered_Resolution 95:3890  some (SH 21442ms, ATP 2060ms): Try this: apply auto[1] (16 ms)
0.sledgehammer goal.by        61195ms Ordered_Resolution_Prover.FO_Ordered_Resolution 98:4032  some (SH 61194ms, ATP 4576ms): Try this: by (smt (cvc5) One_nat_def Suc_pred bot_nat_0.not_eq_extremum length_tl less_Suc_eq_0_disj nat.inject nth_tl)
0.sledgehammer goal.unfolding 11955ms Ordered_Resolution_Prover.FO_Ordered_Resolution 100:4201  some (SH 11955ms, ATP 550ms): Try this: by (simp add: subst_atm_mset_def) (4 ms)
0.sledgehammer goal.by         5560ms Ordered_Resolution_Prover.FO_Ordered_Resolution 100:4230  some (SH 5559ms, ATP 423ms): Try this: by auto (6 ms)
0.sledgehammer goal.using     35820ms Ordered_Resolution_Prover.FO_Ordered_Resolution 102:4345  timeout (SH 35820ms): Timed out
0.sledgehammer goal.by        36011ms Ordered_Resolution_Prover.FO_Ordered_Resolution 102:4355  timeout (SH 36011ms): Timed out
0.sledgehammer goal.using      6159ms Ordered_Resolution_Prover.FO_Ordered_Resolution 105:4525  some (SH 6159ms, ATP 611ms): Try this: by blast (3 ms)
0.sledgehammer goal.by         6747ms Ordered_Resolution_Prover.FO_Ordered_Resolution 105:4535  some (SH 6747ms, ATP 617ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      9825ms Ordered_Resolution_Prover.FO_Ordered_Resolution 107:4565  some (SH 9825ms, ATP 541ms): Try this: by (metis nn(1,2) nth_equalityI) (5.8 s)
0.sledgehammer goal.by         8100ms Ordered_Resolution_Prover.FO_Ordered_Resolution 107:4593  some (SH 8100ms, ATP 699ms): Try this: by metis (148 ms)
0.sledgehammer goal.unfolding  8947ms Ordered_Resolution_Prover.FO_Ordered_Resolution 128:5092  some (SH 8947ms, ATP 392ms): Try this: by (metis FO_resolution.strictly_maximal_wrt_def FO_resolution_axioms maximal_wrt_def) (62 ms)
0.sledgehammer goal.by         3608ms Ordered_Resolution_Prover.FO_Ordered_Resolution 128:5143  some (SH 3608ms, ATP 353ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.unfolding 23424ms Ordered_Resolution_Prover.FO_Ordered_Resolution 131:5228  some (SH 23424ms, ATP 5118ms): Try this: by (meson in_atms_of_subst less_atm_stable maximal_wrt_def) (9 ms)
0.sledgehammer goal.using     15974ms Ordered_Resolution_Prover.FO_Ordered_Resolution 131:5254  some (SH 15974ms, ATP 2093ms): Try this: using in_atms_of_subst less_atm_stable by blast (3 ms)
0.sledgehammer goal.by        19529ms Ordered_Resolution_Prover.FO_Ordered_Resolution 131:5293  some (SH 19529ms, ATP 285ms): Try this: by blast (2 ms)
0.sledgehammer goal.unfolding 12329ms Ordered_Resolution_Prover.FO_Ordered_Resolution 135:5408  some (SH 12329ms, ATP 464ms): Try this: by (metis FO_resolution.maximal_wrt_subst FO_resolution_axioms in_atms_of_subst maximal_wrt_def strictly_maximal_wrt_def) (111 ms)
0.sledgehammer goal.using     11240ms Ordered_Resolution_Prover.FO_Ordered_Resolution 135:5443  some (SH 11239ms, ATP 491ms): Try this: by (metis FO_resolution.maximal_wrt_subst FO_resolution_axioms in_atms_of_subst maximal_wrt_def) (76 ms)
0.sledgehammer goal.by         5270ms Ordered_Resolution_Prover.FO_Ordered_Resolution 135:5482  some (SH 5270ms, ATP 672ms): Try this: by blast (10 ms)
0.sledgehammer goal.by        57375ms Ordered_Resolution_Prover.FO_Ordered_Resolution 176:6835  some (SH 57375ms, ATP 4440ms): Try this: by (simp add: ord_resolve.simps) (228 ms)
0.sledgehammer goal.by        18764ms Ordered_Resolution_Prover.FO_Ordered_Resolution 179:6954  some (SH 18764ms, ATP 1372ms): Try this: by (metis ord_resolve_empty_main_prem ord_resolve_rename.simps subst_cls_empty_iff) (32 ms)
0.sledgehammer goal.using     35500ms Ordered_Resolution_Prover.FO_Ordered_Resolution 195:7378  timeout (SH 35500ms): Timed out
0.sledgehammer goal.proof     34369ms Ordered_Resolution_Prover.FO_Ordered_Resolution 196:7390  timeout (SH 34369ms): Timed out
0.sledgehammer goal.using      5589ms Ordered_Resolution_Prover.FO_Ordered_Resolution 203:7683  some (SH 5588ms, ATP 1026ms): Try this: by (simp add: as_len cas_len) (0.6 ms)
0.sledgehammer goal.by         4666ms Ordered_Resolution_Prover.FO_Ordered_Resolution 203:7704  some (SH 4666ms, ATP 1106ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.using      5611ms Ordered_Resolution_Prover.FO_Ordered_Resolution 205:7749  some (SH 5611ms, ATP 344ms): Try this: by (simp add: ground_subst_\<eta>) (0.7 ms)
0.sledgehammer goal.by         3924ms Ordered_Resolution_Prover.FO_Ordered_Resolution 205:7770  some (SH 3924ms, ATP 388ms): Try this: by auto (1 ms)
0.sledgehammer goal.using      5077ms Ordered_Resolution_Prover.FO_Ordered_Resolution 207:7883  some (SH 5077ms, ATP 472ms): Try this: using cc_inst_true apply blast (1 ms)
0.sledgehammer goal.by         4325ms Ordered_Resolution_Prover.FO_Ordered_Resolution 207:7914  some (SH 4325ms, ATP 372ms): Try this: apply blast (0.4 ms)
0.sledgehammer goal.using      8075ms Ordered_Resolution_Prover.FO_Ordered_Resolution 210:7993  some (SH 8075ms, ATP 1011ms): Try this: using aas_len as_len mgu_unifier by blast (16 ms)
0.sledgehammer goal.by         4853ms Ordered_Resolution_Prover.FO_Ordered_Resolution 210:8026  some (SH 4853ms, ATP 885ms): Try this: by blast (9 ms)
0.sledgehammer goal.proof     35689ms Ordered_Resolution_Prover.FO_Ordered_Resolution 213:8057  timeout (SH 35689ms): Timed out
0.sledgehammer goal.unfolding 33073ms Ordered_Resolution_Prover.FO_Ordered_Resolution 216:8167  timeout (SH 33073ms): Timed out
0.sledgehammer goal.by        32071ms Ordered_Resolution_Prover.FO_Ordered_Resolution 216:8196  timeout (SH 32070ms): Timed out
0.sledgehammer goal.using     20525ms Ordered_Resolution_Prover.FO_Ordered_Resolution 218:8240  some (SH 20525ms, ATP 754ms): Try this: using d_true da by auto (29 ms)
0.sledgehammer goal.by         9260ms Ordered_Resolution_Prover.FO_Ordered_Resolution 218:8256  some (SH 9260ms, ATP 759ms): Try this: by auto (62 ms)
0.sledgehammer goal.unfolding 15388ms Ordered_Resolution_Prover.FO_Ordered_Resolution 220:8292  some (SH 15388ms, ATP 647ms): Try this: by (simp add: e) (16 ms)
0.sledgehammer goal.by         8365ms Ordered_Resolution_Prover.FO_Ordered_Resolution 220:8304  some (SH 8365ms, ATP 757ms): Try this: by fastforce (33 ms)
0.sledgehammer goal.using      8001ms Ordered_Resolution_Prover.FO_Ordered_Resolution 224:8428  some (SH 8001ms, ATP 498ms): Try this: by (metis in_set_conv_nth len) (55 ms)
0.sledgehammer goal.by         6697ms Ordered_Resolution_Prover.FO_Ordered_Resolution 224:8441  some (SH 6697ms, ATP 537ms): Try this: by (metis in_set_conv_nth) (62 ms)
0.sledgehammer goal.unfolding 33832ms Ordered_Resolution_Prover.FO_Ordered_Resolution 228:8579  some (SH 33832ms, ATP 3991ms): Try this: by (metis C_def a_in_aa cas cas_len less_subset_eq_Union_mset mset_subset_eq_add_left subset_mset.add_diff_inverse subset_mset.add_increasing2 subset_mset.le_add_same_cancel1) (90 ms)
0.sledgehammer goal.using     13996ms Ordered_Resolution_Prover.FO_Ordered_Resolution 228:8595  some (SH 13996ms, ATP 1078ms): Try this: using a_in_aa cas cas_len less_subset_eq_Union_mset subset_mset.dual_order.trans by fastforce (130 ms)
0.sledgehammer goal.by        16175ms Ordered_Resolution_Prover.FO_Ordered_Resolution 229:8627  some (SH 16175ms, ATP 1098ms): Try this: using less_subset_eq_Union_mset subset_mset.dual_order.trans by fastforce (86 ms)
0.sledgehammer goal.using     20007ms Ordered_Resolution_Prover.FO_Ordered_Resolution 231:8756  some (SH 20006ms, ATP 496ms): Try this: using BB_def C_def a_in_aa cas cas_len in_mset_conv_nth by fastforce (128 ms)
0.sledgehammer goal.by         7917ms Ordered_Resolution_Prover.FO_Ordered_Resolution 231:8811  some (SH 7917ms, ATP 1507ms): Try this: by fastforce (68 ms)
0.sledgehammer goal.using     17936ms Ordered_Resolution_Prover.FO_Ordered_Resolution 236:8914  some (SH 17936ms, ATP 452ms): Try this: by (metis BB_def a_in_aa aas_len as_len len mgu mgu_unifier) (131 ms)
0.sledgehammer goal.unfolding  5363ms Ordered_Resolution_Prover.FO_Ordered_Resolution 236:8941  some (SH 5363ms, ATP 452ms): Try this: using BB_def by blast (13 ms)
0.sledgehammer goal.by         4845ms Ordered_Resolution_Prover.FO_Ordered_Resolution 236:8958  some (SH 4845ms, ATP 419ms): Try this: by meson (37 ms)
0.sledgehammer goal.using     36206ms Ordered_Resolution_Prover.FO_Ordered_Resolution 239:9016  timeout (SH 36205ms): Timed out
0.sledgehammer goal.by        35656ms Ordered_Resolution_Prover.FO_Ordered_Resolution 239:9030  timeout (SH 35656ms): Timed out
0.sledgehammer goal.using     37144ms Ordered_Resolution_Prover.FO_Ordered_Resolution 241:9111  some (SH 37144ms, ATP 2108ms): Try this: by (metis BB_def C_def a_in_aa cas cas_len cc_true mset_subst_cls_list_subst_cls_mset nth_mem_mset subst_cls_list_length subst_cls_list_nth true_cls_mset_def) (69 ms)
0.sledgehammer goal.by        10410ms Ordered_Resolution_Prover.FO_Ordered_Resolution 241:9185  some (SH 10410ms, ATP 910ms): Try this: by (meson Melem_subst_cls_mset) (30 ms)
0.sledgehammer goal.by        10399ms Ordered_Resolution_Prover.FO_Ordered_Resolution 243:9236  some (SH 10398ms, ATP 948ms): Try this: by auto (50 ms)
0.sledgehammer goal.unfolding 35255ms Ordered_Resolution_Prover.FO_Ordered_Resolution 245:9272  timeout (SH 35255ms): Timed out
0.sledgehammer goal.using     96773ms Ordered_Resolution_Prover.FO_Ordered_Resolution 245:9300  some (SH 96773ms, ATP 4556ms): Try this: by (smt (z3) C_def a_in_aa cas_len cs_len less_subset_eq_Union_mset subset_mset.add_diff_inverse subst_cls_union true_cls_union) (185 ms)
0.sledgehammer goal.by        63999ms Ordered_Resolution_Prover.FO_Ordered_Resolution 246:9347  some (SH 63999ms, ATP 615ms): Try this: by (smt (cvc5, trigger_last) less_subset_eq_Union_mset subset_mset.le_iff_add subst_cls_union true_cls_union) (347 ms)
0.sledgehammer goal.using     34804ms Ordered_Resolution_Prover.FO_Ordered_Resolution 264:9932  timeout (SH 34804ms): Timed out
0.sledgehammer goal.by        17933ms Ordered_Resolution_Prover.FO_Ordered_Resolution 264:9944  some (SH 17933ms, ATP 1636ms): Try this: by (meson ord_resolve_ground_inst_sound ord_resolve_rename.simps) (61 ms)
0.sledgehammer goal.proof     31828ms Ordered_Resolution_Prover.FO_Ordered_Resolution 276:10316  timeout (SH 31828ms): Timed out
0.sledgehammer goal.using      5103ms Ordered_Resolution_Prover.FO_Ordered_Resolution 281:10615  some (SH 5103ms, ATP 342ms): Try this: using ground_subst_\<eta> by force (0.8 ms)
0.sledgehammer goal.by         3968ms Ordered_Resolution_Prover.FO_Ordered_Resolution 281:10636  some (SH 3967ms, ATP 372ms): Try this: by auto (1 ms)
0.sledgehammer goal.using     27144ms Ordered_Resolution_Prover.FO_Ordered_Resolution 283:10716  some (SH 27144ms, ATP 963ms): Try this: by (metis Un_iff cc_d_true ground_subst_\<sigma>_\<eta> set_mset_union subst_cls_mset_comp_subst subst_cls_mset_union true_cls_mset_def) (41 ms)
0.sledgehammer goal.by        10101ms Ordered_Resolution_Prover.FO_Ordered_Resolution 283:10749  some (SH 10101ms, ATP 642ms): Try this: by fastforce (44 ms)
0.sledgehammer goal.using     28414ms Ordered_Resolution_Prover.FO_Ordered_Resolution 285:10799  some (SH 28414ms, ATP 696ms): Try this: by (metis cc_d_true ground_subst_\<sigma>_\<eta> subst_cls_comp_subst subst_cls_mset_single subst_cls_mset_union true_cls_mset_singleton true_cls_mset_union) (86 ms)
0.sledgehammer goal.by        13377ms Ordered_Resolution_Prover.FO_Ordered_Resolution 285:10832  some (SH 13377ms, ATP 734ms): Try this: by fastforce (72 ms)
0.sledgehammer goal.using     17082ms Ordered_Resolution_Prover.FO_Ordered_Resolution 287:10868  some (SH 17082ms, ATP 453ms): Try this: using cas_true da_true ground_subst_\<eta> ord_resolve_ground_inst_sound res_e by blast (5 ms)
0.sledgehammer goal.by         5120ms Ordered_Resolution_Prover.FO_Ordered_Resolution 287:10946  some (SH 5120ms, ATP 455ms): Try this: by blast (1 ms)
0.sledgehammer goal.using     21639ms Ordered_Resolution_Prover.FO_Ordered_Resolution 295:11082  some (SH 21639ms, ATP 566ms): Try this: by (metis assms(1,2) ground_subst_ground_cls make_ground_subst subst_cls_comp_subst) (148 ms)
0.sledgehammer goal.by         6745ms Ordered_Resolution_Prover.FO_Ordered_Resolution 295:11136  some (SH 6745ms, ATP 553ms): Try this: by metis (44 ms)
0.sledgehammer goal.proof     37124ms Ordered_Resolution_Prover.FO_Ordered_Resolution 303:11359  timeout (SH 37124ms): Timed out
0.sledgehammer goal.unfolding 13416ms Ordered_Resolution_Prover.FO_Ordered_Resolution 305:11452  some (SH 13416ms, ATP 765ms): Try this: by (metis in_mset_conv_nth mset_subst_cls_list_subst_cls_mset subst_cls_list_length subst_cls_list_nth true_cls_mset_def) (146 ms)
0.sledgehammer goal.by        12764ms Ordered_Resolution_Prover.FO_Ordered_Resolution 305:11480  some (SH 12764ms, ATP 798ms): Try this: by (metis in_mset_conv_nth mset_subst_cls_list_subst_cls_mset subst_cls_list_length subst_cls_list_nth) (62 ms)
0.sledgehammer goal.using      6752ms Ordered_Resolution_Prover.FO_Ordered_Resolution 307:11566  some (SH 6752ms, ATP 812ms): Try this: by auto (5 ms)
0.sledgehammer goal.by         7223ms Ordered_Resolution_Prover.FO_Ordered_Resolution 307:11588  some (SH 7223ms, ATP 732ms): Try this: by auto (5 ms)
0.sledgehammer goal.using      5943ms Ordered_Resolution_Prover.FO_Ordered_Resolution 309:11688  some (SH 5943ms, ATP 777ms): Try this: by (meson subst_sound) (17 ms)
0.sledgehammer goal.by         8965ms Ordered_Resolution_Prover.FO_Ordered_Resolution 309:11710  some (SH 8965ms, ATP 768ms): Try this: by presburger (4 ms)
0.sledgehammer goal.by         7720ms Ordered_Resolution_Prover.FO_Ordered_Resolution 316:11862  some (SH 7720ms, ATP 916ms): Try this: by (metis in_mset_conv_nth) (56 ms)
0.sledgehammer goal.using     25379ms Ordered_Resolution_Prover.FO_Ordered_Resolution 318:11947  some (SH 25379ms, ATP 588ms): Try this: by (simp add: len true_cp) (11 ms)
0.sledgehammer goal.unfolding 15850ms Ordered_Resolution_Prover.FO_Ordered_Resolution 318:11961  some (SH 15850ms, ATP 674ms): Try this: by (simp add: len) (19 ms)
0.sledgehammer goal.by        17149ms Ordered_Resolution_Prover.FO_Ordered_Resolution 318:11991  some (SH 17149ms, ATP 603ms): Try this: by simp (22 ms)
0.sledgehammer goal.using     11211ms Ordered_Resolution_Prover.FO_Ordered_Resolution 321:12038  some (SH 11211ms, ATP 953ms): Try this: by (metis Melem_subst_cls_mset ground_subst_\<eta> true_cls_mset_def) (131 ms)
0.sledgehammer goal.unfolding 11056ms Ordered_Resolution_Prover.FO_Ordered_Resolution 321:12050  some (SH 11056ms, ATP 889ms): Try this: by (metis Melem_subst_cls_mset true_cls_mset_def) (187 ms)
0.sledgehammer goal.by         7691ms Ordered_Resolution_Prover.FO_Ordered_Resolution 321:12078  some (SH 7691ms, ATP 830ms): Try this: by (metis Melem_subst_cls_mset) (239 ms)
0.sledgehammer goal.using     30689ms Ordered_Resolution_Prover.FO_Ordered_Resolution 334:12411  timeout (SH 30689ms): Timed out
0.sledgehammer goal.proof     34117ms Ordered_Resolution_Prover.FO_Ordered_Resolution 335:12423  timeout (SH 34117ms): Timed out
0.sledgehammer goal.using     12237ms Ordered_Resolution_Prover.FO_Ordered_Resolution 339:12582  some (SH 12237ms, ATP 1246ms): Try this: using \<rho>s renamings_apart_length by auto (1 ms)
0.sledgehammer goal.by         9880ms Ordered_Resolution_Prover.FO_Ordered_Resolution 339:12614  some (SH 9880ms, ATP 1191ms): Try this: by auto (1 ms)
0.sledgehammer goal.using     35313ms Ordered_Resolution_Prover.FO_Ordered_Resolution 341:12704  timeout (SH 35313ms): Timed out
0.sledgehammer goal.by        62565ms Ordered_Resolution_Prover.FO_Ordered_Resolution 341:12762  some (SH 62565ms, ATP 740ms): Try this: by auto (31 ms)
0.sledgehammer goal.using     16021ms Ordered_Resolution_Prover.FO_Ordered_Resolution 343:12798  some (SH 16021ms, ATP 711ms): Try this: by (meson FO_resolution.ord_resolve_sound FO_resolution_axioms ground_subst_\<eta> local.ord_resolve_rename(8)) (15 ms)
0.sledgehammer goal.by         5620ms Ordered_Resolution_Prover.FO_Ordered_Resolution 343:12845  some (SH 5620ms, ATP 727ms): Try this: by blast (6 ms)
0.sledgehammer goal.using     32477ms Ordered_Resolution_Prover.FO_Ordered_Resolution 354:13038  timeout (SH 32477ms): Timed out
0.sledgehammer goal.proof     125602ms Ordered_Resolution_Prover.FO_Ordered_Resolution 355:13050  some (SH 125601ms, ATP 8548ms): Try this: by (smt (cvc5) add_right_imp_eq nth_equalityI option.simps(1) ord_resolve.simps)
0.sledgehammer goal.using     25244ms Ordered_Resolution_Prover.FO_Ordered_Resolution 360:13290  some (SH 25244ms, ATP 2050ms): Try this: by (metis assms(1,2) option.simps(1) ord_resolve.simps) (895 ms)
0.sledgehammer goal.by         9276ms Ordered_Resolution_Prover.FO_Ordered_Resolution 360:13321  some (SH 9276ms, ATP 470ms): Try this: by (metis option.inject) (98 ms)
0.sledgehammer goal.using     30684ms Ordered_Resolution_Prover.FO_Ordered_Resolution 363:13369  timeout (SH 30684ms): Timed out
0.sledgehammer goal.by        21122ms Ordered_Resolution_Prover.FO_Ordered_Resolution 363:13408  some (SH 21122ms, ATP 601ms): Try this: by (metis add_right_imp_eq nth_equalityI) (94 ms)
0.sledgehammer goal.using     20254ms Ordered_Resolution_Prover.FO_Ordered_Resolution 365:13481  some (SH 20253ms, ATP 348ms): Try this: using ord_resolve_ord_resolve(19,2) res'(4) res(4) by fastforce (3 ms)
0.sledgehammer goal.by         5117ms Ordered_Resolution_Prover.FO_Ordered_Resolution 365:13506  some (SH 5117ms, ATP 402ms): Try this: by force (9 ms)
0.sledgehammer goal.using      5555ms Ordered_Resolution_Prover.FO_Ordered_Resolution 367:13550  some (SH 5554ms, ATP 324ms): Try this: using \<sigma> res'(5,6) res(5,6) by force (3 ms)
0.sledgehammer goal.by         3924ms Ordered_Resolution_Prover.FO_Ordered_Resolution 367:13577  some (SH 3923ms, ATP 338ms): Try this: by force (4 ms)
0.sledgehammer goal.using     20267ms Ordered_Resolution_Prover.FO_Ordered_Resolution 375:13754  some (SH 20267ms, ATP 925ms): Try this: by (meson assms(1,2) ord_resolve_rename.simps ord_resolve_unique) (86 ms)
0.sledgehammer goal.unfolding 13419ms Ordered_Resolution_Prover.FO_Ordered_Resolution 375:13766  some (SH 13419ms, ATP 1585ms): Try this: by (meson ord_resolve_rename.simps ord_resolve_unique) (90 ms)
0.sledgehammer goal.using     10923ms Ordered_Resolution_Prover.FO_Ordered_Resolution 375:13801  some (SH 10923ms, ATP 1981ms): Try this: by (metis ord_resolve_unique) (147 ms)
0.sledgehammer goal.by         8847ms Ordered_Resolution_Prover.FO_Ordered_Resolution 375:13826  some (SH 8847ms, ATP 1989ms): Try this: by force (284 ms)
0.sledgehammer goal.by        54209ms Ordered_Resolution_Prover.FO_Ordered_Resolution 378:13927  some (SH 54209ms, ATP 1922ms): Try this: by (metis (no_types, lifting) le_add_same_cancel2 ord_resolve.simps size_image_mset size_mset size_union zero_le) (1.3 s)
0.sledgehammer goal.by        22943ms Ordered_Resolution_Prover.FO_Ordered_Resolution 382:14070  some (SH 22943ms, ATP 1818ms): Try this: by (metis ord_resolve_rename.simps size_image_mset size_mset size_mset_mono) (171 ms)
0.sledgehammer goal.proof     36605ms Ordered_Resolution_Prover.FO_Ordered_Resolution 395:14557  timeout (SH 36605ms): Timed out
0.sledgehammer goal.unfolding 35424ms Ordered_Resolution_Prover.FO_Ordered_Resolution 417:15534  timeout (SH 35424ms): Timed out
0.sledgehammer goal.using     35280ms Ordered_Resolution_Prover.FO_Ordered_Resolution 417:15549  timeout (SH 35280ms): Timed out
0.sledgehammer goal.by        34496ms Ordered_Resolution_Prover.FO_Ordered_Resolution 417:15562  timeout (SH 34496ms): Timed out
0.sledgehammer goal.by        58369ms Ordered_Resolution_Prover.FO_Ordered_Resolution 420:15635  some (SH 58369ms, ATP 1334ms): Try this: by (smt (z3) Collect_mono_iff infer_from_def inference.sel(1,2) set_mset_add_mset_insert set_mset_empty set_mset_mset set_mset_union) (2.5 s)
0.sledgehammer goal.proof     36365ms Ordered_Resolution_Prover.FO_Ordered_Resolution 422:15690  timeout (SH 36365ms): Timed out
0.sledgehammer goal.proof     38257ms Ordered_Resolution_Prover.FO_Ordered_Resolution 432:16014  timeout (SH 38257ms): Timed out
0.sledgehammer goal.using     37853ms Ordered_Resolution_Prover.FO_Ordered_Resolution 434:16060  some (SH 37853ms, ATP 2005ms): Try this: by (smt (cvc5, quant_saturate) ord_resolve_rename_unique res_e the_equality) (582 ms)
