0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 1.000, provers = ["cvc5_proof"], slices = 96,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.by        32529ms Prime_Number_Theorem.Prime_Number_Theorem_Library 41:1636  timeout (SH 32527ms): Timed out
0.sledgehammer goal.proof     36660ms Prime_Number_Theorem.Prime_Number_Theorem_Library 47:1785  timeout (SH 36658ms): Timed out
0.sledgehammer goal.by        36258ms Prime_Number_Theorem.Prime_Number_Theorem_Library 48:1853  timeout (SH 36256ms): Timed out
0.sledgehammer goal.by        33106ms Prime_Number_Theorem.Prime_Number_Theorem_Library 50:1917  timeout (SH 33104ms): Timed out
0.sledgehammer goal.unfolding 82309ms Prime_Number_Theorem.Prime_Number_Theorem_Library 52:2049  some (SH 82308ms, ATP 669ms): Try this: by (smt (cvc5, best) floor_divide_of_nat_eq linordered_euclidean_semiring_class.of_nat_div nat_div_as_int sum_upto_cong sum_upto_ln_conv_sum_upto_mangoldt) (484 ms)
0.sledgehammer goal.by        46971ms Prime_Number_Theorem.Prime_Number_Theorem_Library 53:2098  some (SH 46969ms, ATP 2318ms): Try this: by (smt (cvc5, quant_saturate) floor_divide_of_nat_eq linordered_euclidean_semiring_class.of_nat_div nat_div_as_int sum_upto_cong) (419 ms)
0.sledgehammer goal.unfolding 36640ms Prime_Number_Theorem.Prime_Number_Theorem_Library 61:2403  timeout (SH 36638ms): Timed out
0.sledgehammer goal.proof     38112ms Prime_Number_Theorem.Prime_Number_Theorem_Library 62:2435  timeout (SH 38109ms): Timed out
0.sledgehammer goal.by        37555ms Prime_Number_Theorem.Prime_Number_Theorem_Library 64:2547  timeout (SH 37553ms): Timed out
0.sledgehammer goal.by        32836ms Prime_Number_Theorem.Prime_Number_Theorem_Library 68:2769  timeout (SH 32834ms): Timed out
0.sledgehammer goal.proof     36179ms Prime_Number_Theorem.Prime_Number_Theorem_Library 74:2963  timeout (SH 36177ms): Timed out
0.sledgehammer goal.by        37903ms Prime_Number_Theorem.Prime_Number_Theorem_Library 76:3046  timeout (SH 37901ms): Timed out
0.sledgehammer goal.by        40601ms Prime_Number_Theorem.Prime_Number_Theorem_Library 78:3214  some (SH 40599ms, ATP 1409ms): Try this: by (smt (cvc5, quant_saturate) divide_eq_0_iff fds_cong fds_nth_0 fds_nth_fds' scaleR_conv_of_real semiring_1_class.of_nat_simps(1) suminf_zero times_divide_eq_right) (811 ms)
0.sledgehammer goal.by        38646ms Prime_Number_Theorem.Prime_Number_Theorem_Library 79:3272  timeout (SH 38644ms): Timed out
0.sledgehammer goal.proof     36448ms Prime_Number_Theorem.Prime_Number_Theorem_Library 85:3426  timeout (SH 36446ms): Timed out
0.sledgehammer goal.by        37620ms Prime_Number_Theorem.Prime_Number_Theorem_Library 87:3516  timeout (SH 37617ms): Timed out
0.sledgehammer goal.by        49795ms Prime_Number_Theorem.Prime_Number_Theorem_Library 89:3705  some (SH 49794ms, ATP 4007ms): Try this: by (smt (cvc5) divide_eq_0_iff divide_eq_0_iff fds_cong fds_nth_0 fds_nth_fds' norm_divide norm_scaleR norm_zero norm_zero times_divide_eq_right)
0.sledgehammer goal.by        37128ms Prime_Number_Theorem.Prime_Number_Theorem_Library 90:3755  timeout (SH 37127ms): Timed out
0.sledgehammer goal.by        14561ms Prime_Number_Theorem.Prime_Number_Theorem_Library 94:3874  some (SH 14559ms, ATP 779ms): Try this: by (smt (cvc5, trigger_max) conv_abscissa_mono fds_converges_scaleR) (186 ms)
0.sledgehammer goal.by        14528ms Prime_Number_Theorem.Prime_Number_Theorem_Library 97:3998  some (SH 14526ms, ATP 811ms): Try this: by (smt (cvc5, trigger_last) abs_conv_abscissa_mono fds_abs_converges_scaleR) (128 ms)
0.sledgehammer goal.by        37412ms Prime_Number_Theorem.Prime_Number_Theorem_Library 101:4154  timeout (SH 37411ms): Timed out
0.sledgehammer goal.by        17770ms Prime_Number_Theorem.Prime_Number_Theorem_Library 105:4343  some (SH 17768ms, ATP 788ms): Try this: by (smt (cvc5, best) conv_abscissa_mono fds_converges_cmult_left) (135 ms)
0.sledgehammer goal.by        17285ms Prime_Number_Theorem.Prime_Number_Theorem_Library 109:4484  some (SH 17283ms, ATP 741ms): Try this: by (smt (cvc5, best) abs_conv_abscissa_mono fds_abs_converges_mult_const_left) (152 ms)
0.sledgehammer goal.by        24065ms Prime_Number_Theorem.Prime_Number_Theorem_Library 113:4642  some (SH 24063ms, ATP 742ms): Try this: by (smt (cvc5, fmf) Groups.mult_ac(2) fds_abs_converges_mult_const_left) (83 ms)
0.sledgehammer goal.by        11409ms Prime_Number_Theorem.Prime_Number_Theorem_Library 117:4795  some (SH 11407ms, ATP 801ms): Try this: by (smt (cvc5, best) Groups.mult_ac(2) conv_abscissa_mult_const_left) (46 ms)
0.sledgehammer goal.by        11638ms Prime_Number_Theorem.Prime_Number_Theorem_Library 121:4937  some (SH 11636ms, ATP 681ms): Try this: by (smt (cvc5, best) Groups.mult_ac(2) abs_conv_abscissa_mult_const_left) (72 ms)
0.sledgehammer goal.proof     36077ms Prime_Number_Theorem.Prime_Number_Theorem_Library 128:5153  timeout (SH 36075ms): Timed out
0.sledgehammer goal.by        36475ms Prime_Number_Theorem.Prime_Number_Theorem_Library 130:5225  timeout (SH 36473ms): Timed out
0.sledgehammer goal.proof     35492ms Prime_Number_Theorem.Prime_Number_Theorem_Library 132:5267  timeout (SH 35489ms): Timed out
0.sledgehammer goal.by        61578ms Prime_Number_Theorem.Prime_Number_Theorem_Library 134:5387  some (SH 61571ms, ATP 937ms): Try this: by (smt (cvc5, fmf) fds_abs_converges_imp_converges fds_abs_summable_zeta_iff fds_converges_scaleR real_inner_1_right) (966 ms)
0.sledgehammer goal.by        36838ms Prime_Number_Theorem.Prime_Number_Theorem_Library 136:5531  timeout (SH 36836ms): Timed out
0.sledgehammer goal.proof     38424ms Prime_Number_Theorem.Prime_Number_Theorem_Library 144:5805  timeout (SH 38421ms): Timed out
0.sledgehammer goal.by        36678ms Prime_Number_Theorem.Prime_Number_Theorem_Library 146:5888  timeout (SH 36675ms): Timed out
0.sledgehammer goal.by        37014ms Prime_Number_Theorem.Prime_Number_Theorem_Library 147:5967  timeout (SH 37011ms): Timed out
0.sledgehammer goal.by        99018ms Prime_Number_Theorem.Prime_Number_Theorem_Library 149:6046  some (SH 99015ms, ATP 807ms): Try this: by (smt (cvc5, noematch) add_diff_cancel_right' bounded_coeffs_imp_fds_abs_converges cross3_simps(36)) (1.7 s)
0.sledgehammer goal.by        21654ms Prime_Number_Theorem.Prime_Number_Theorem_Library 150:6136  some (SH 21652ms, ATP 725ms): Try this: by (smt (cvc5, best) add_diff_cancel_right' fds_abs_converges_shift) (71 ms)
0.sledgehammer goal.proof     36827ms Prime_Number_Theorem.Prime_Number_Theorem_Library 157:6370  timeout (SH 36825ms): Timed out
0.sledgehammer goal.by         7355ms Prime_Number_Theorem.Prime_Number_Theorem_Library 159:6470  some (SH 7353ms, ATP 523ms): Try this: by (smt (cvc5, quant_saturate) assms(2)) (44 ms)
0.sledgehammer goal.by        12864ms Prime_Number_Theorem.Prime_Number_Theorem_Library 160:6504  some (SH 11775ms, ATP 554ms): Try this: by (smt (cvc5, best) \<open>c < ereal x\<close>) (25 ms)
0.sledgehammer goal.by         6365ms Prime_Number_Theorem.Prime_Number_Theorem_Library 161:6549  some (SH 6363ms, ATP 518ms): Try this: by (smt (cvc5, trigger_max)) (41 ms)
0.sledgehammer goal.by        38970ms Prime_Number_Theorem.Prime_Number_Theorem_Library 163:6602  timeout (SH 37678ms): Timed out
0.sledgehammer goal.proof     36583ms Prime_Number_Theorem.Prime_Number_Theorem_Library 170:6850  timeout (SH 36581ms): Timed out
0.sledgehammer goal.by        15840ms Prime_Number_Theorem.Prime_Number_Theorem_Library 172:6927  some (SH 15837ms, ATP 815ms): Try this: by (smt (cvc5, noematch) fds_nth_shift fds_shift_by_0) (60 ms)
0.sledgehammer goal.by        35687ms Prime_Number_Theorem.Prime_Number_Theorem_Library 174:6970  timeout (SH 35685ms): Timed out
0.sledgehammer goal.proof     37048ms Prime_Number_Theorem.Prime_Number_Theorem_Library 186:7549  timeout (SH 37046ms): Timed out
0.sledgehammer goal.using     36750ms Prime_Number_Theorem.Prime_Number_Theorem_Library 190:7763  timeout (SH 36748ms): Timed out
0.sledgehammer goal.unfolding 35719ms Prime_Number_Theorem.Prime_Number_Theorem_Library 190:7774  timeout (SH 35718ms): Timed out
0.sledgehammer goal.by        35647ms Prime_Number_Theorem.Prime_Number_Theorem_Library 190:7805  timeout (SH 35645ms): Timed out
0.sledgehammer goal.using     37717ms Prime_Number_Theorem.Prime_Number_Theorem_Library 191:7893  timeout (SH 37715ms): Timed out
0.sledgehammer goal.by        36357ms Prime_Number_Theorem.Prime_Number_Theorem_Library 192:7915  timeout (SH 36355ms): Timed out
0.sledgehammer goal.by        37739ms Prime_Number_Theorem.Prime_Number_Theorem_Library 194:8060  timeout (SH 37737ms): Timed out
0.sledgehammer goal.using     37020ms Prime_Number_Theorem.Prime_Number_Theorem_Library 195:8172  timeout (SH 37017ms): Timed out
0.sledgehammer goal.by        36977ms Prime_Number_Theorem.Prime_Number_Theorem_Library 196:8194  timeout (SH 36975ms): Timed out
0.sledgehammer goal.by        11098ms Prime_Number_Theorem.Prime_Number_Theorem_Library 198:8378  some (SH 11095ms, ATP 511ms): Try this: by (smt (cvc5, fmf) interval_integral_to_infinity_eq) (188 ms)
0.sledgehammer goal.using     35359ms Prime_Number_Theorem.Prime_Number_Theorem_Library 200:8498  timeout (SH 35357ms): Timed out
0.sledgehammer goal.by        15671ms Prime_Number_Theorem.Prime_Number_Theorem_Library 200:8543  some (SH 15668ms, ATP 119ms): Try this: by (smt (cvc5, fmf) einterval_eq_Ici integrable_integral) (83 ms)
0.sledgehammer goal.unfolding 36526ms Prime_Number_Theorem.Prime_Number_Theorem_Library 205:8682  timeout (SH 36524ms): Timed out
0.sledgehammer goal.by        37662ms Prime_Number_Theorem.Prime_Number_Theorem_Library 206:8755  timeout (SH 37661ms): Timed out
0.sledgehammer goal.proof     38405ms Prime_Number_Theorem.Prime_Number_Theorem_Library 211:8970  timeout (SH 38403ms): Timed out
0.sledgehammer goal.unfolding 40469ms Prime_Number_Theorem.Prime_Number_Theorem_Library 214:9109  timeout (SH 40466ms): Timed out
0.sledgehammer goal.by        38529ms Prime_Number_Theorem.Prime_Number_Theorem_Library 215:9141  timeout (SH 38527ms): Timed out
0.sledgehammer goal.using     37012ms Prime_Number_Theorem.Prime_Number_Theorem_Library 216:9246  timeout (SH 37011ms): Timed out
0.sledgehammer goal.by        36826ms Prime_Number_Theorem.Prime_Number_Theorem_Library 217:9262  timeout (SH 36824ms): Timed out
0.sledgehammer goal.by        39480ms Prime_Number_Theorem.Prime_Number_Theorem_Library 222:9439  timeout (SH 39479ms): Timed out
0.sledgehammer goal.by        38270ms Prime_Number_Theorem.Prime_Number_Theorem_Library 225:9538  timeout (SH 38267ms): Timed out
0.sledgehammer goal.proof     36806ms Prime_Number_Theorem.Prime_Number_Theorem_Library 232:9862  timeout (SH 36805ms): Timed out
0.sledgehammer goal.using     39543ms Prime_Number_Theorem.Prime_Number_Theorem_Library 234:9965  timeout (SH 39540ms): Timed out
0.sledgehammer goal.by        38643ms Prime_Number_Theorem.Prime_Number_Theorem_Library 234:10027  timeout (SH 38642ms): Timed out
0.sledgehammer goal.using     36591ms Prime_Number_Theorem.Prime_Number_Theorem_Library 237:10191  timeout (SH 36588ms): Timed out
0.sledgehammer goal.by        39512ms Prime_Number_Theorem.Prime_Number_Theorem_Library 237:10248  timeout (SH 39510ms): Timed out
0.sledgehammer goal.using     38137ms Prime_Number_Theorem.Prime_Number_Theorem_Library 238:10355  timeout (SH 38135ms): Timed out
0.sledgehammer goal.by        37028ms Prime_Number_Theorem.Prime_Number_Theorem_Library 239:10371  timeout (SH 37027ms): Timed out
0.sledgehammer goal.using     96470ms Prime_Number_Theorem.Prime_Number_Theorem_Library 248:10748  some (SH 96468ms, ATP 3020ms): Try this: by (smt (cvc5, trigger_relev) assms(1,2) contour_integrable_on_def has_contour_integral_linepath_same_Im_iff integrable_eq integrable_on_def) (1.9 s)
0.sledgehammer goal.by        37598ms Prime_Number_Theorem.Prime_Number_Theorem_Library 248:10832  timeout (SH 37596ms): Timed out
0.sledgehammer goal.proof     157600ms Prime_Number_Theorem.Prime_Number_Theorem_Library 254:11066  timeout (SH 157599ms):
0.sledgehammer goal.using     37180ms Prime_Number_Theorem.Prime_Number_Theorem_Library 256:11146  timeout (SH 37177ms): Timed out
0.sledgehammer goal.using     12570ms Prime_Number_Theorem.Prime_Number_Theorem_Library 257:11214  some (SH 12569ms, ATP 2023ms): Try this: by (smt (cvc5, trigger_relev) has_contour_integral_integral integral_unique) (162 ms)
0.sledgehammer goal.by        18981ms Prime_Number_Theorem.Prime_Number_Theorem_Library 257:11278  some (SH 18979ms, ATP 1571ms): Try this: by (smt (cvc5, term_relev) integral_unique) (161 ms)
0.sledgehammer goal.using     40794ms Prime_Number_Theorem.Prime_Number_Theorem_Library 260:11320  timeout (SH 40792ms): Timed out
0.sledgehammer goal.by        40128ms Prime_Number_Theorem.Prime_Number_Theorem_Library 261:11386  some (SH 40127ms, ATP 1408ms): Try this: by (smt (cvc5, fmf) not_integrable_contour_integral not_integrable_integral) (371 ms)
0.sledgehammer goal.by        46910ms Prime_Number_Theorem.Prime_Number_Theorem_Library 268:11599  some (SH 46908ms, ATP 3576ms): Try this: by (smt (cvc5, trigger_max) cis_2pi cis_mult more_arith_simps(6) periodic_fun_simple_def) (128 ms)
0.sledgehammer goal.proof     36930ms Prime_Number_Theorem.Prime_Number_Theorem_Library 273:11789  timeout (SH 36929ms): Timed out
0.sledgehammer goal.by        16743ms Prime_Number_Theorem.Prime_Number_Theorem_Library 275:11868  some (SH 16741ms, ATP 3540ms): Try this: by (smt (cvc5, fmf) analytic_at_ball analytic_on_analytic_at) (1.1 s)
0.sledgehammer goal.by        29829ms Prime_Number_Theorem.Prime_Number_Theorem_Library 277:12024  some (SH 29827ms, ATP 1450ms): Try this: by (smt (cvc5, quant_saturate) Elementary_Metric_Spaces.open_ball centre_in_ball) (505 ms)
0.sledgehammer goal.by        13933ms Prime_Number_Theorem.Prime_Number_Theorem_Library 278:12080  some (SH 13931ms, ATP 999ms): Try this: by (smt (cvc5, trigger_last) Elementary_Metric_Spaces.open_ball analytic_on_open) (207 ms)
0.sledgehammer goal.using     53518ms Prime_Number_Theorem.Prime_Number_Theorem_Library 279:12138  some (SH 53516ms, ATP 1599ms): Try this: by (smt (cvc5) Basis_complex_def analytic_on_subset complex_inner_1_right complex_inner_i_right insertCI that)
0.sledgehammer goal.by        33077ms Prime_Number_Theorem.Prime_Number_Theorem_Library 280:12207  some (SH 33075ms, ATP 1669ms): Try this: by (smt (cvc5) Basis_complex_def analytic_on_subset complex_inner_1_right complex_inner_i_right insertCI that)
0.sledgehammer goal.using     48772ms Prime_Number_Theorem.Prime_Number_Theorem_Library 286:12348  some (SH 48770ms, ATP 459ms): Try this: by (smt (cvc5) Basis_complex_def assms(1,2) complex_inner_1_right complex_inner_i_right empty_iff image_cong inner_image_box insert_iff)
0.sledgehammer goal.by        48719ms Prime_Number_Theorem.Prime_Number_Theorem_Library 286:12397  some (SH 48717ms, ATP 3004ms): Try this: by (smt (cvc5) Basis_complex_def complex_inner_1_right image_cong inner_image_box insert_iff subset_box(3) subset_box_complex(3))
0.sledgehammer goal.using     55996ms Prime_Number_Theorem.Prime_Number_Theorem_Library 291:12534  some (SH 55994ms, ATP 2044ms): Try this: by (smt (cvc5) Basis_complex_def assms(1,2) complex_inner_1_right complex_inner_i_right image_cong inner_image_box insert_iff singletonD)
0.sledgehammer goal.by        42265ms Prime_Number_Theorem.Prime_Number_Theorem_Library 291:12583  some (SH 42263ms, ATP 1627ms): Try this: by (smt (cvc5) Basis_complex_def complex_inner_1_right complex_inner_i_right image_cong inner_image_box insert_iff singletonD)
0.sledgehammer goal.using     125743ms Prime_Number_Theorem.Prime_Number_Theorem_Library 296:12720  some (SH 125741ms, ATP 377ms): Try this: by (smt (cvc5) Basis_complex_def assms(1,2) complex_inner_1_right complex_inner_i_right image_cong inner_image_cbox insert_iff singletonD)
0.sledgehammer goal.by        38524ms Prime_Number_Theorem.Prime_Number_Theorem_Library 296:12770  timeout (SH 38521ms): Timed out
0.sledgehammer goal.using     37224ms Prime_Number_Theorem.Prime_Number_Theorem_Library 301:12907  timeout (SH 37221ms): Timed out
0.sledgehammer goal.by        43035ms Prime_Number_Theorem.Prime_Number_Theorem_Library 301:12957  some (SH 43032ms, ATP 494ms): Try this: by (smt (cvc5) Basis_complex_def complex_inner_1_right complex_inner_i_right empty_iff image_cong inner_image_cbox insert_iff)
0.sledgehammer goal.proof     31988ms Prime_Number_Theorem.Prime_Number_Theorem_Library 306:13132  timeout (SH 31985ms): Timed out
0.sledgehammer goal.by        14310ms Prime_Number_Theorem.Prime_Number_Theorem_Library 308:13208  some (SH 14309ms, ATP 1093ms): Try this: by (smt (cvc5, noematch) analytic_at_ball analytic_on_analytic_at) (580 ms)
0.sledgehammer goal.by        10841ms Prime_Number_Theorem.Prime_Number_Theorem_Library 309:13273  some (SH 10839ms, ATP 841ms): Try this: by (smt (cvc5, noematch) Elementary_Metric_Spaces.open_ball analytic_on_open) (144 ms)
0.sledgehammer goal.by        37034ms Prime_Number_Theorem.Prime_Number_Theorem_Library 311:13364  timeout (SH 36994ms): Timed out
0.sledgehammer goal.using     17416ms Prime_Number_Theorem.Prime_Number_Theorem_Library 313:13523  some (SH 17414ms, ATP 1145ms): Try this: apply (smt (cvc5) \<open>0 < r\<close> assms(3) half_gt_zero)
0.sledgehammer goal.by        15422ms Prime_Number_Theorem.Prime_Number_Theorem_Library 313:13550  some (SH 15421ms, ATP 1127ms): Try this: apply (smt (cvc5) half_gt_zero)
0.sledgehammer goal.using     13875ms Prime_Number_Theorem.Prime_Number_Theorem_Library 314:13600  some (SH 13873ms, ATP 851ms): Try this: by (smt (cvc5, fmf) that) (1.7 s)
0.sledgehammer goal.by        14147ms Prime_Number_Theorem.Prime_Number_Theorem_Library 315:13642  some (SH 14145ms, ATP 789ms): Try this: by (smt (cvc5, fmf)) (825 ms)
0.sledgehammer goal.using     52219ms Prime_Number_Theorem.Prime_Number_Theorem_Library 322:13792  timeout (SH 52217ms): Timed out
0.sledgehammer goal.by        37123ms Prime_Number_Theorem.Prime_Number_Theorem_Library 323:13875  timeout (SH 37121ms): Timed out
0.sledgehammer goal.using     41618ms Prime_Number_Theorem.Prime_Number_Theorem_Library 328:14065  timeout (SH 41616ms): Timed out
0.sledgehammer goal.by        37816ms Prime_Number_Theorem.Prime_Number_Theorem_Library 329:14156  timeout (SH 37815ms): Timed out
0.sledgehammer goal.using     38134ms Prime_Number_Theorem.Prime_Number_Theorem_Library 334:14320  timeout (SH 38131ms): Timed out
0.sledgehammer goal.by        38319ms Prime_Number_Theorem.Prime_Number_Theorem_Library 335:14399  timeout (SH 38318ms): Timed out
0.sledgehammer goal.using     41308ms Prime_Number_Theorem.Prime_Number_Theorem_Library 339:14517  timeout (SH 41304ms): Timed out
0.sledgehammer goal.by        41968ms Prime_Number_Theorem.Prime_Number_Theorem_Library 339:14544  timeout (SH 41966ms): Timed out
0.sledgehammer goal.by        121020ms Prime_Number_Theorem.Prime_Number_Theorem_Library 342:14643  some (SH 121017ms, ATP 1269ms): Try this: by (smt (cvc5, noematch) real_sqrt_mult real_sqrt_unique) (1.6 s)
0.sledgehammer goal.using     36349ms Prime_Number_Theorem.Prime_Number_Theorem_Library 345:14723  timeout (SH 36348ms): Timed out
0.sledgehammer goal.by        37690ms Prime_Number_Theorem.Prime_Number_Theorem_Library 345:14756  timeout (SH 37687ms): Timed out
0.sledgehammer goal.using     37937ms Prime_Number_Theorem.Prime_Number_Theorem_Library 352:14967  timeout (SH 37936ms): Timed out
0.sledgehammer goal.by        37617ms Prime_Number_Theorem.Prime_Number_Theorem_Library 352:15004  timeout (SH 37614ms): Timed out
0.sledgehammer goal.unfolding 38316ms Prime_Number_Theorem.Prime_Number_Theorem_Library 358:15164  timeout (SH 38315ms): Timed out
0.sledgehammer goal.by        37309ms Prime_Number_Theorem.Prime_Number_Theorem_Library 359:15194  timeout (SH 37307ms): Timed out
0.sledgehammer goal.unfolding 39041ms Prime_Number_Theorem.Prime_Number_Theorem_Library 364:15433  timeout (SH 39040ms): Timed out
0.sledgehammer goal.by        36316ms Prime_Number_Theorem.Prime_Number_Theorem_Library 365:15467  timeout (SH 36314ms): Timed out
0.sledgehammer goal.proof     39886ms Prime_Number_Theorem.Prime_Number_Theorem_Library 370:15678  timeout (SH 39884ms): Timed out
0.sledgehammer goal.by        36534ms Prime_Number_Theorem.Prime_Number_Theorem_Library 372:15733  timeout (SH 36531ms): Timed out
0.sledgehammer goal.by        24305ms Prime_Number_Theorem.Prime_Number_Theorem_Library 373:15793  some (SH 24303ms, ATP 948ms): Try this: by (smt (cvc5, best) conv_abscissa_mono nle_le) (400 ms)
0.sledgehammer goal.proof     42535ms Prime_Number_Theorem.Prime_Number_Theorem_Library 379:15977  timeout (SH 42533ms): Timed out
0.sledgehammer goal.by        39154ms Prime_Number_Theorem.Prime_Number_Theorem_Library 381:16040  timeout (SH 39153ms): Timed out
0.sledgehammer goal.by        28641ms Prime_Number_Theorem.Prime_Number_Theorem_Library 382:16104  some (SH 28638ms, ATP 2606ms): Try this: by (smt (cvc5, trigger_last) abs_conv_abscissa_mono alethe_la_disequality) (254 ms)
0.sledgehammer goal.by        34108ms Prime_Number_Theorem.Prime_Number_Theorem_Library 390:16325  timeout (SH 34106ms): Timed out
0.sledgehammer goal.by        38210ms Prime_Number_Theorem.Prime_Number_Theorem_Library 394:16494  timeout (SH 38208ms): Timed out
0.sledgehammer goal.by        36699ms Prime_Number_Theorem.Prime_Number_Theorem_Library 399:16724  timeout (SH 36698ms): Timed out
0.sledgehammer goal.by         7776ms Prime_Number_Theorem.Prime_Number_Theorem_Library 406:17066  some (SH 7771ms, ATP 817ms): Try this: apply (smt (cvc5, noematch) fds_converges_remainder_iff) (197 ms)
0.sledgehammer goal.by        32520ms Prime_Number_Theorem.Prime_Number_Theorem_Library 410:17175  some (SH 32518ms, ATP 990ms): Try this: by (smt (cvc5, noematch) Collect_cong conv_abscissa_def fds_converges_remainder_iff) (145 ms)
0.sledgehammer goal.by        39063ms Prime_Number_Theorem.Prime_Number_Theorem_Library 415:17397  some (SH 39061ms, ATP 186ms): Try this: by (smt (cvc5, trigger_last) abs_conv_abscissa_mono alethe_la_disequality fds_abs_converges_remainder_iff) (477 ms)
0.sledgehammer goal.proof     40625ms Prime_Number_Theorem.Prime_Number_Theorem_Library 421:17676  timeout (SH 40624ms): Timed out
0.sledgehammer goal.by         7726ms Prime_Number_Theorem.Prime_Number_Theorem_Library 423:17770  some (SH 7725ms, ATP 529ms): Try this: by (smt (cvc5, trigger_relev) fds_converges_remainder_iff) (295 ms)
0.sledgehammer goal.by        45271ms Prime_Number_Theorem.Prime_Number_Theorem_Library 425:17871  timeout (SH 45269ms): Timed out
0.sledgehammer goal.by        91881ms Prime_Number_Theorem.Prime_Number_Theorem_Library 427:17980  some (SH 91879ms, ATP 1666ms): Try this: by (smt (cvc5, term_relev) The_cong \<open>\<not> fds_converges (fds_remainder m f) s\<close> eval_fds_def fds_converges_def suminf_def sums_iff) (238 ms)
0.sledgehammer goal.unfolding 40790ms Prime_Number_Theorem.Prime_Number_Theorem_Library 428:18079  timeout (SH 40787ms): Timed out
0.sledgehammer goal.by        37866ms Prime_Number_Theorem.Prime_Number_Theorem_Library 429:18111  timeout (SH 37863ms): Timed out
0.sledgehammer goal.by        46544ms Prime_Number_Theorem.Prime_Number_Theorem_Library 431:18208  timeout (SH 46541ms): Timed out
0.sledgehammer goal.by        37467ms Prime_Number_Theorem.Prime_Number_Theorem_Library 433:18296  some (SH 37464ms, ATP 1988ms): Try this: by (smt (cvc5, noematch) The_cong suminf_def) (625 ms)
0.sledgehammer goal.by         8134ms Prime_Number_Theorem.Prime_Number_Theorem_Library 434:18348  some (SH 8132ms, ATP 807ms): Try this: by (smt (cvc5, trigger_last)) (253 ms)
