0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by         4549ms Ordered_Resolution_Prover.Ground_Resolution_Model 99:3656  some (SH 4549ms, ATP 602ms): Try this: by blast (14 ms)
0.sledgehammer goal.by         8699ms Ordered_Resolution_Prover.Ground_Resolution_Model 102:3733  some (SH 8699ms, ATP 531ms): Try this: by (simp add: pos_Max_imp_neg_notin producesD) (2 ms)
0.sledgehammer goal.unfolding 81811ms Ordered_Resolution_Prover.Ground_Resolution_Model 105:3855  some (SH 81811ms, ATP 2057ms): Try this: by (smt (cvc5, best) UN_E UN_I interp_def mem_Collect_eq order.strict_trans2 subsetI) (596 ms)
0.sledgehammer goal.by        92117ms Ordered_Resolution_Prover.Ground_Resolution_Model 105:3876  some (SH 92117ms, ATP 902ms): Try this: using order.strict_trans2 by fastforce (45 ms)
0.sledgehammer goal.unfolding  9737ms Ordered_Resolution_Prover.Ground_Resolution_Model 108:3987  some (SH 9737ms, ATP 427ms): Try this: by (simp add: Interp_def le_supI1 less_eq_imp_interp_subseteq_interp) (3 ms)
0.sledgehammer goal.using      4174ms Ordered_Resolution_Prover.Ground_Resolution_Model 108:4008  some (SH 4173ms, ATP 362ms): Try this: using less_eq_imp_interp_subseteq_interp by blast (3 ms)
0.sledgehammer goal.by         4018ms Ordered_Resolution_Prover.Ground_Resolution_Model 108:4049  some (SH 4018ms, ATP 463ms): Try this: by blast (6 ms)
0.sledgehammer goal.unfolding 13558ms Ordered_Resolution_Prover.Ground_Resolution_Model 111:4138  some (SH 13558ms, ATP 501ms): Try this: using interp_def by auto (4 ms)
0.sledgehammer goal.by         6228ms Ordered_Resolution_Prover.Ground_Resolution_Model 111:4159  some (SH 6228ms, ATP 545ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.unfolding 13098ms Ordered_Resolution_Prover.Ground_Resolution_Model 114:4250  some (SH 13098ms, ATP 510ms): Try this: by (metis Interp_def UnI2 le_supI1 less_imp_production_subseteq_interp order_le_imp_less_or_eq subsetI) (96 ms)
0.sledgehammer goal.using     10251ms Ordered_Resolution_Prover.Ground_Resolution_Model 114:4271  some (SH 10251ms, ATP 348ms): Try this: by (metis le_supI1 less_imp_production_subseteq_interp order_le_imp_less_or_eq sup_ge2) (62 ms)
0.sledgehammer goal.by         8927ms Ordered_Resolution_Prover.Ground_Resolution_Model 115:4315  some (SH 8927ms, ATP 367ms): Try this: using order_le_imp_less_or_eq by blast (2 ms)
0.sledgehammer goal.by        11109ms Ordered_Resolution_Prover.Ground_Resolution_Model 118:4433  some (SH 11109ms, ATP 416ms): Try this: by (simp add: Interp_def less_eq_imp_interp_subseteq_interp less_imp_production_subseteq_interp) (2 ms)
0.sledgehammer goal.using      7681ms Ordered_Resolution_Prover.Ground_Resolution_Model 121:4605  some (SH 7681ms, ATP 379ms): Try this: using Interp_def less_eq_imp_interp_subseteq_Interp less_eq_imp_production_subseteq_Interp by auto (7 ms)
0.sledgehammer goal.by         3152ms Ordered_Resolution_Prover.Ground_Resolution_Model 121:4696  some (SH 3152ms, ATP 451ms): Try this: by auto (7 ms)
0.sledgehammer goal.using      9870ms Ordered_Resolution_Prover.Ground_Resolution_Model 124:4782  some (SH 9870ms, ATP 423ms): Try this: by (meson cvc_arith_rewrite_defs(5) in_mono less_eq_imp_interp_subseteq_Interp) (12 ms)
0.sledgehammer goal.by         4500ms Ordered_Resolution_Prover.Ground_Resolution_Model 124:4832  some (SH 4500ms, ATP 460ms): Try this: by blast (5 ms)
0.sledgehammer goal.using      7383ms Ordered_Resolution_Prover.Ground_Resolution_Model 127:4919  some (SH 7383ms, ATP 1525ms): Try this: by (meson in_mono less_eq_imp_interp_subseteq_interp linorder_not_less) (27 ms)
0.sledgehammer goal.by         3240ms Ordered_Resolution_Prover.Ground_Resolution_Model 127:4969  some (SH 3240ms, ATP 451ms): Try this: by blast (3 ms)
0.sledgehammer goal.using      5938ms Ordered_Resolution_Prover.Ground_Resolution_Model 130:5056  some (SH 5937ms, ATP 482ms): Try this: by (meson in_mono less_eq_imp_Interp_subseteq_Interp linorder_not_less) (24 ms)
0.sledgehammer goal.by         3726ms Ordered_Resolution_Prover.Ground_Resolution_Model 130:5106  some (SH 3726ms, ATP 462ms): Try this: by blast (4 ms)
0.sledgehammer goal.using      5962ms Ordered_Resolution_Prover.Ground_Resolution_Model 133:5191  some (SH 5961ms, ATP 426ms): Try this: by (meson in_mono less_imp_Interp_subseteq_interp linorder_not_less) (27 ms)
0.sledgehammer goal.by         5692ms Ordered_Resolution_Prover.Ground_Resolution_Model 133:5238  some (SH 5692ms, ATP 431ms): Try this: by blast (4 ms)
0.sledgehammer goal.unfolding 122057ms Ordered_Resolution_Prover.Ground_Resolution_Model 139:5376  some (SH 122057ms, ATP 474ms): Try this: using INTERP_def interp_def productive_in_N by fastforce (242 ms)
0.sledgehammer goal.by        37451ms Ordered_Resolution_Prover.Ground_Resolution_Model 139:5408  some (SH 37451ms, ATP 478ms): Try this: by (metis SUP_least SUP_upper empty_subsetI productive_in_N) (78 ms)
0.sledgehammer goal.unfolding  8859ms Ordered_Resolution_Prover.Ground_Resolution_Model 142:5503  some (SH 8859ms, ATP 365ms): Try this: by (metis INTERP_def SUP_upper empty_subsetI productive_in_N) (63 ms)
0.sledgehammer goal.using      9948ms Ordered_Resolution_Prover.Ground_Resolution_Model 142:5524  some (SH 9948ms, ATP 410ms): Try this: by (metis SUP_upper empty_subsetI productive_in_N) (33 ms)
0.sledgehammer goal.by         7079ms Ordered_Resolution_Prover.Ground_Resolution_Model 142:5548  some (SH 7079ms, ATP 441ms): Try this: by blast (2 ms)
0.sledgehammer goal.by         8414ms Ordered_Resolution_Prover.Ground_Resolution_Model 145:5610  some (SH 8414ms, ATP 401ms): Try this: by (simp add: Interp_def interp_subseteq_INTERP production_subseteq_INTERP) (4 ms)
0.sledgehammer goal.by        25499ms Ordered_Resolution_Prover.Ground_Resolution_Model 150:5795  some (SH 25498ms, ATP 686ms): Try this: by (metis Max_pos_neg_less_multiset a_in_c d in_mono less_imp_production_subseteq_interp producesD singletonI) (73 ms)
0.sledgehammer goal.using     10848ms Ordered_Resolution_Prover.Ground_Resolution_Model 154:6015  some (SH 10848ms, ATP 521ms): Try this: by (meson in_mono less_eq_imp_interp_subseteq_interp not_Interp_to_interp_imp_less order_less_irrefl produces_imp_in_interp) (55 ms)
0.sledgehammer goal.by         4468ms Ordered_Resolution_Prover.Ground_Resolution_Model 154:6079  some (SH 4468ms, ATP 688ms): Try this: by blast (5 ms)
0.sledgehammer goal.using      8743ms Ordered_Resolution_Prover.Ground_Resolution_Model 157:6159  some (SH 8743ms, ATP 600ms): Try this: using productive_imp_produces_Max_atom by fastforce (52 ms)
0.sledgehammer goal.by         7077ms Ordered_Resolution_Prover.Ground_Resolution_Model 157:6198  some (SH 7077ms, ATP 675ms): Try this: by fastforce (52 ms)
0.sledgehammer goal.using      3541ms Ordered_Resolution_Prover.Ground_Resolution_Model 160:6291  some (SH 3541ms, ATP 346ms): Try this: using in_production_imp_produces by force (5 ms)
0.sledgehammer goal.by         3114ms Ordered_Resolution_Prover.Ground_Resolution_Model 160:6324  some (SH 3114ms, ATP 377ms): Try this: by blast (1 ms)
0.sledgehammer goal.unfolding 19050ms Ordered_Resolution_Prover.Ground_Resolution_Model 163:6411  some (SH 19050ms, ATP 462ms): Try this: by (metis UN_E in_production_imp_produces interp_def) (22 ms)
0.sledgehammer goal.by        13581ms Ordered_Resolution_Prover.Ground_Resolution_Model 163:6432  some (SH 13581ms, ATP 140ms): Try this: by (meson UN_E in_production_imp_produces) (6 ms)
0.sledgehammer goal.proof     50340ms Ordered_Resolution_Prover.Ground_Resolution_Model 176:6735  some (SH 50340ms, ATP 1848ms): Try this: by (smt (z3) UN_iff c_at_d c_le_d d_lt_d' in_mono in_production_imp_produces less_imp_Interp_subseteq_interp neg_notin_Interp_not_produce subs true_cls_def true_lit_iff) (615 ms)
0.sledgehammer goal.by         3250ms Ordered_Resolution_Prover.Ground_Resolution_Model 179:6867  some (SH 3250ms, ATP 344ms): Try this: by blast (3 ms)
0.sledgehammer goal.using      6157ms Ordered_Resolution_Prover.Ground_Resolution_Model 181:6915  some (SH 6157ms, ATP 419ms): Try this: by (meson d_lt_d' linorder_not_less not_interp_to_Interp_imp_le) (20 ms)
0.sledgehammer goal.by         3577ms Ordered_Resolution_Prover.Ground_Resolution_Model 181:6961  some (SH 3577ms, ATP 403ms): Try this: by blast (1 ms)
0.sledgehammer goal.using     42822ms Ordered_Resolution_Prover.Ground_Resolution_Model 183:6994  some (SH 42822ms, ATP 520ms): Try this: using a_in_c subs by auto (3 ms)
0.sledgehammer goal.by         7400ms Ordered_Resolution_Prover.Ground_Resolution_Model 183:7012  some (SH 7400ms, ATP 484ms): Try this: by auto (5 ms)
0.sledgehammer goal.using     12420ms Ordered_Resolution_Prover.Ground_Resolution_Model 187:7128  some (SH 12420ms, ATP 519ms): Try this: by (metis c_at_d true_cls_def true_lit_iff) (73 ms)
0.sledgehammer goal.unfolding  8366ms Ordered_Resolution_Prover.Ground_Resolution_Model 187:7141  some (SH 8365ms, ATP 542ms): Try this: by (metis true_cls_def true_lit_iff) (114 ms)
0.sledgehammer goal.by         3641ms Ordered_Resolution_Prover.Ground_Resolution_Model 187:7164  some (SH 3641ms, ATP 481ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      8140ms Ordered_Resolution_Prover.Ground_Resolution_Model 189:7214  some (SH 8140ms, ATP 474ms): Try this: using c_le_d neg_notin_Interp_not_produce by presburger (3 ms)
0.sledgehammer goal.by         3062ms Ordered_Resolution_Prover.Ground_Resolution_Model 189:7256  some (SH 3062ms, ATP 387ms): Try this: by blast (5 ms)
0.sledgehammer goal.using     49284ms Ordered_Resolution_Prover.Ground_Resolution_Model 191:7288  some (SH 49283ms, ATP 387ms): Try this: by (meson UN_iff a_in_c ground_resolution_with_selection.not_produces_imp_notin_production ground_resolution_with_selection_axioms true_cls_def true_lit_iff) (66 ms)
0.sledgehammer goal.by        19655ms Ordered_Resolution_Prover.Ground_Resolution_Model 191:7340  some (SH 19655ms, ATP 237ms): Try this: by blast (5 ms)
0.sledgehammer goal.using      8242ms Ordered_Resolution_Prover.Ground_Resolution_Model 195:7428  some (SH 8241ms, ATP 476ms): Try this: by (simp add: Interp_imp_general interp_def) (3 ms)
0.sledgehammer goal.by         4710ms Ordered_Resolution_Prover.Ground_Resolution_Model 195:7464  some (SH 4710ms, ATP 535ms): Try this: by simp (18 ms)
0.sledgehammer goal.using     10916ms Ordered_Resolution_Prover.Ground_Resolution_Model 198:7548  some (SH 10916ms, ATP 425ms): Try this: by (metis Interp_as_UNION Interp_imp_general interp_subseteq_Interp order_le_imp_less_or_eq) (51 ms)
0.sledgehammer goal.by         5590ms Ordered_Resolution_Prover.Ground_Resolution_Model 198:7612  some (SH 5590ms, ATP 411ms): Try this: by (metis order_le_imp_less_or_eq) (120 ms)
0.sledgehammer goal.using     33122ms Ordered_Resolution_Prover.Ground_Resolution_Model 201:7701  timeout (SH 33122ms): Timed out
0.sledgehammer goal.by        28281ms Ordered_Resolution_Prover.Ground_Resolution_Model 201:7790  some (SH 28281ms, ATP 1568ms): Try this: by presburger (4 ms)
0.sledgehammer goal.proof     34069ms Ordered_Resolution_Prover.Ground_Resolution_Model 210:8002  timeout (SH 34069ms): Timed out
0.sledgehammer goal.by         3373ms Ordered_Resolution_Prover.Ground_Resolution_Model 213:8134  some (SH 3373ms, ATP 309ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      7474ms Ordered_Resolution_Prover.Ground_Resolution_Model 215:8182  some (SH 7474ms, ATP 412ms): Try this: by (meson d_le_d' linorder_not_less not_interp_to_interp_imp_less) (15 ms)
0.sledgehammer goal.by         3244ms Ordered_Resolution_Prover.Ground_Resolution_Model 215:8231  some (SH 3244ms, ATP 420ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      8406ms Ordered_Resolution_Prover.Ground_Resolution_Model 217:8264  some (SH 8406ms, ATP 463ms): Try this: using a_in_c subs by auto (9 ms)
0.sledgehammer goal.by         7378ms Ordered_Resolution_Prover.Ground_Resolution_Model 217:8282  some (SH 7378ms, ATP 479ms): Try this: by auto (6 ms)
0.sledgehammer goal.using     12808ms Ordered_Resolution_Prover.Ground_Resolution_Model 221:8398  some (SH 12808ms, ATP 540ms): Try this: by (metis c_at_d true_cls_def true_lit_iff) (78 ms)
0.sledgehammer goal.unfolding  8403ms Ordered_Resolution_Prover.Ground_Resolution_Model 221:8411  some (SH 8403ms, ATP 564ms): Try this: by (metis true_cls_def true_lit_iff) (111 ms)
0.sledgehammer goal.by         3796ms Ordered_Resolution_Prover.Ground_Resolution_Model 221:8434  some (SH 3796ms, ATP 478ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      6671ms Ordered_Resolution_Prover.Ground_Resolution_Model 223:8484  some (SH 6671ms, ATP 492ms): Try this: by (meson c_le_d in_mono less_eq_imp_interp_subseteq_interp produces_imp_in_interp) (35 ms)
0.sledgehammer goal.by         5880ms Ordered_Resolution_Prover.Ground_Resolution_Model 223:8497  some (SH 5880ms, ATP 506ms): Try this: by (meson in_mono less_eq_imp_interp_subseteq_interp produces_imp_in_interp) (35 ms)
0.sledgehammer goal.using     32710ms Ordered_Resolution_Prover.Ground_Resolution_Model 225:8595  some (SH 32710ms, ATP 205ms): Try this: by (metis UN_iff a_in_c in_production_imp_produces true_cls_def true_lit_iff) (39 ms)
0.sledgehammer goal.by        13865ms Ordered_Resolution_Prover.Ground_Resolution_Model 225:8647  some (SH 13865ms, ATP 227ms): Try this: by blast (5 ms)
0.sledgehammer goal.using      8896ms Ordered_Resolution_Prover.Ground_Resolution_Model 229:8735  some (SH 8896ms, ATP 417ms): Try this: by (metis interp_def interp_imp_general order_refl) (20 ms)
0.sledgehammer goal.by         4944ms Ordered_Resolution_Prover.Ground_Resolution_Model 229:8771  some (SH 4944ms, ATP 448ms): Try this: by (metis order_refl) (92 ms)
0.sledgehammer goal.using      7742ms Ordered_Resolution_Prover.Ground_Resolution_Model 232:8855  some (SH 7742ms, ATP 423ms): Try this: using Interp_as_UNION interp_imp_general interp_subseteq_Interp by presburger (13 ms)
0.sledgehammer goal.by         4706ms Ordered_Resolution_Prover.Ground_Resolution_Model 232:8926  some (SH 4706ms, ATP 458ms): Try this: by presburger (7 ms)
0.sledgehammer goal.using     12360ms Ordered_Resolution_Prover.Ground_Resolution_Model 235:8998  some (SH 12360ms, ATP 463ms): Try this: by (metis INTERP_def interp_imp_general interp_subseteq_INTERP order_refl) (48 ms)
0.sledgehammer goal.by         5351ms Ordered_Resolution_Prover.Ground_Resolution_Model 235:9064  some (SH 5351ms, ATP 528ms): Try this: by metis (76 ms)
0.sledgehammer goal.unfolding  7796ms Ordered_Resolution_Prover.Ground_Resolution_Model 238:9141  some (SH 7796ms, ATP 473ms): Try this: using producesD productive_imp_produces_Max_literal by blast (8 ms)
0.sledgehammer goal.by         3197ms Ordered_Resolution_Prover.Ground_Resolution_Model 238:9169  some (SH 3197ms, ATP 445ms): Try this: by blast (0.9 ms)
0.sledgehammer goal.proof     28828ms Ordered_Resolution_Prover.Ground_Resolution_Model 247:9296  some (SH 28827ms, ATP 636ms): Try this: by (metis Interp_def Un_insert_right assms ground_resolution_with_selection.produces_imp_Pos_in_lits ground_resolution_with_selection_axioms insertCI pos_literal_in_imp_true_cls productive_imp_produces_Max_literal) (71 ms)
0.sledgehammer goal.using      3419ms Ordered_Resolution_Prover.Ground_Resolution_Model 249:9343  some (SH 3419ms, ATP 420ms): Try this: using assms productive_imp_produces_Max_literal by blast (5 ms)
0.sledgehammer goal.by         3075ms Ordered_Resolution_Prover.Ground_Resolution_Model 249:9388  some (SH 3075ms, ATP 432ms): Try this: by blast (5 ms)
0.sledgehammer goal.by         3500ms Ordered_Resolution_Prover.Ground_Resolution_Model 251:9434  some (SH 3500ms, ATP 381ms): Try this: by (simp add: produces_imp_Pos_in_lits) (2 ms)
0.sledgehammer goal.using      8355ms Ordered_Resolution_Prover.Ground_Resolution_Model 253:9504  some (SH 8355ms, ATP 425ms): Try this: using Interp_def a by auto (3 ms)
0.sledgehammer goal.by         6344ms Ordered_Resolution_Prover.Ground_Resolution_Model 253:9551  some (SH 6343ms, ATP 411ms): Try this: by blast (1 ms)
0.sledgehammer goal.by         3599ms Ordered_Resolution_Prover.Ground_Resolution_Model 255:9590  some (SH 3599ms, ATP 355ms): Try this: by blast (1 ms)
0.sledgehammer goal.by         6066ms Ordered_Resolution_Prover.Ground_Resolution_Model 259:9662  some (SH 6066ms, ATP 469ms): Try this: by (meson Interp_imp_INTERP order_refl productive_imp_Interp) (23 ms)
0.sledgehammer goal.proof     158884ms Ordered_Resolution_Prover.Ground_Resolution_Model 268:9883  timeout (SH 158884ms):
0.sledgehammer goal.by         3773ms Ordered_Resolution_Prover.Ground_Resolution_Model 271:9948  some (SH 3773ms, ATP 400ms): Try this: using productive_imp_Interp by force (2 ms)
0.sledgehammer goal.using     221124ms Ordered_Resolution_Prover.Ground_Resolution_Model 275:10036  some (SH 221124ms, ATP 856ms): Try this: by (simp add: assms(1,2,3,4) production_unfold) (2 ms)
0.sledgehammer goal.unfolding 117977ms Ordered_Resolution_Prover.Ground_Resolution_Model 275:10048  some (SH 117977ms, ATP 728ms): Try this: by (smt (z3) emptyE ground_resolution_with_selection.production.elims ground_resolution_with_selection_axioms interp_def mem_Collect_eq) (872 ms)
0.sledgehammer goal.by         8469ms Ordered_Resolution_Prover.Ground_Resolution_Model 275:10076  some (SH 8469ms, ATP 649ms): Try this: by blast (1 ms)
0.sledgehammer goal.unfolding  7992ms Ordered_Resolution_Prover.Ground_Resolution_Model 277:10108  some (SH 7992ms, ATP 444ms): Try this: using interp_imp_Interp by blast (2 ms)
0.sledgehammer goal.using      7559ms Ordered_Resolution_Prover.Ground_Resolution_Model 277:10129  some (SH 7559ms, ATP 381ms): Try this: using False by auto (1 ms)
0.sledgehammer goal.by         4065ms Ordered_Resolution_Prover.Ground_Resolution_Model 277:10141  some (SH 4065ms, ATP 437ms): Try this: by auto (0.9 ms)
0.sledgehammer goal.proof     21262ms Ordered_Resolution_Prover.Ground_Resolution_Model 291:10385  some (SH 21261ms, ATP 468ms): Try this: by (metis Max_in_mset Max_lit_eq_pos_or_neg_Max_atm c_in_n empty_iff max_atm max_pos_imp_Interp pos_in pos_neg_in_imp_true s_c_e set_mset_empty) (60 ms)
0.sledgehammer goal.using      4938ms Ordered_Resolution_Prover.Ground_Resolution_Model 294:10448  some (SH 4938ms, ATP 444ms): Try this: by (meson pos_in pos_neg_in_imp_true) (17 ms)
0.sledgehammer goal.by         4193ms Ordered_Resolution_Prover.Ground_Resolution_Model 294:10481  some (SH 4193ms, ATP 416ms): Try this: by metis (28 ms)
0.sledgehammer goal.using      8234ms Ordered_Resolution_Prover.Ground_Resolution_Model 298:10542  some (SH 8233ms, ATP 412ms): Try this: using pos_in by fastforce (0.8 ms)
0.sledgehammer goal.by         7629ms Ordered_Resolution_Prover.Ground_Resolution_Model 298:10555  some (SH 7629ms, ATP 377ms): Try this: by fastforce (0.8 ms)
0.sledgehammer goal.using      5722ms Ordered_Resolution_Prover.Ground_Resolution_Model 300:10606  some (SH 5722ms, ATP 419ms): Try this: by (metis Max_in_mset Max_lit_eq_pos_or_neg_Max_atm max_atm) (64 ms)
0.sledgehammer goal.using      5180ms Ordered_Resolution_Prover.Ground_Resolution_Model 300:10620  some (SH 5180ms, ATP 393ms): Try this: by (metis Max_in_mset Max_lit_eq_pos_or_neg_Max_atm) (95 ms)
0.sledgehammer goal.by         5141ms Ordered_Resolution_Prover.Ground_Resolution_Model 300:10668  some (SH 5141ms, ATP 386ms): Try this: by metis (56 ms)
0.sledgehammer goal.using      5165ms Ordered_Resolution_Prover.Ground_Resolution_Model 302:10701  some (SH 5165ms, ATP 399ms): Try this: by (simp add: c_in_n max_pos_imp_Interp ne s_c_e) (4 ms)
0.sledgehammer goal.by         3148ms Ordered_Resolution_Prover.Ground_Resolution_Model 302:10723  some (SH 3148ms, ATP 377ms): Try this: using max_pos_imp_Interp by blast (15 ms)
0.sledgehammer goal.proof     33351ms Ordered_Resolution_Prover.Ground_Resolution_Model 313:11061  timeout (SH 33351ms): Timed out
0.sledgehammer goal.using     13815ms Ordered_Resolution_Prover.Ground_Resolution_Model 317:11178  some (SH 13815ms, ATP 497ms): Try this: by (metis d_lt_c le_supI1 less_imp_Interp_subseteq_interp subs subset_Un_eq) (26 ms)
0.sledgehammer goal.by         8441ms Ordered_Resolution_Prover.Ground_Resolution_Model 317:11228  some (SH 8441ms, ATP 487ms): Try this: by (metis le_supI1 subset_Un_eq) (14 ms)
0.sledgehammer goal.using     103454ms Ordered_Resolution_Prover.Ground_Resolution_Model 319:11334  some (SH 103454ms, ATP 507ms): Try this: by (meson cc_blw_d' d'_at_d false_to_true_imp_ex_pos) (19 ms)
0.sledgehammer goal.by         5380ms Ordered_Resolution_Prover.Ground_Resolution_Model 319:11383  some (SH 5380ms, ATP 578ms): Try this: by metis (59 ms)
0.sledgehammer goal.using      8170ms Ordered_Resolution_Prover.Ground_Resolution_Model 321:11443  some (SH 8169ms, ATP 365ms): Try this: using d'_at_d by blast (0.6 ms)
0.sledgehammer goal.by         3041ms Ordered_Resolution_Prover.Ground_Resolution_Model 321:11457  some (SH 3041ms, ATP 349ms): Try this: by blast (1 ms)
0.sledgehammer goal.by        13855ms Ordered_Resolution_Prover.Ground_Resolution_Model 323:11536  some (SH 13854ms, ATP 150ms): Try this: using in_production_imp_produces by force (3 ms)
0.sledgehammer goal.using      3665ms Ordered_Resolution_Prover.Ground_Resolution_Model 325:11627  some (SH 3665ms, ATP 384ms): Try this: using ground_resolution_with_selection.produces_imp_Max_atom ground_resolution_with_selection_axioms prod_c' by blast (2 ms)
